;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
2;C;Short;41143.929688;50000;0.0;0.04;0;0.8447;-0.0;-0.0;;;;;;;;;;
3;C;Short;41143.929688;45000;0.0;0.04;1;0.8447;-201.4342092286316;-6124.524016341476;-0.5469541239018336;-0.06565926286312587;-0.2482285779006929;0.0008025022692524619;-574.462136308809;1.8571881283220673;8833900.874399854;-85.6338762559155;-14.711071887721474;-1.5249113113185169
4;C;Short;41143.929688;44000;0.0;0.04;3;0.8447;-179.05792039142932;-221.67227334350537;-0.19073096877992304;-0.17452483663428245;-0.020980367752937323;-0.015658881498520103;-145.66123266498215;-108.71553864493102;740864.3575774748;1511.407582062051;-14.854600173692306;-13.52258931240677
5;C;Short;41143.929688;50000;0.0;0.04;3;0.8447;-24.117288257158677;-188.81358019061184;-0.3791178024596508;-0.26576926855708716;-0.12434187917007546;-0.05469305182310651;-863.2733041229816;-379.7196236299567;4420844.294523766;5316.694035376479;-30.33844951723157;-21.02213166222634
6;C;Short;41143.929688;47000;0.0;0.04;11;0.8447;-161.32926881988573;-180.06373057852306;-0.10340562823542829;-0.09930995118764789;-0.005940108376224218;-0.0051988894414436776;-151.21563013523993;-132.34663293989678;207782.51402040815;497.26763060684175;-28.149641386019486;-26.915327755181586
7;C;Short;41143.929688;60000;0.0;0.04;21;0.8447;-241.51948802230177;-682.9101222064089;-0.1160251982679279;-0.09217989497188206;-0.010147712970457514;-0.005628733152741493;-493.17050977823214;-273.5518048672206;357387.83089673653;540.0628783953812;-61.00079900346535;-47.281583408480095
8;C;Short;41143.929688;70000;0.0;0.04;24;0.8447;-251.41100797166249;-21010.845380238465;-0.13343247762640004;-0.019345051665498058;-0.01452149109499849;2.1337510002832452e-05;-806.5514648511928;1.185126226809375;512730.03039771057;-4.2055809198596386;-81.16108117900274;-6.144691506080916
9;C;Short;41143.929688;55000;0.0;0.04;25;0.8447;-75.51515015709023;-81.63956832421718;-0.08523789639555708;-0.0836205857534863;-0.004684071031830675;-0.004435667161906482;-271.0023836018747;-256.6306884700274;163698.95494698535;424.3879852926631;-51.53280575038156;-50.425058735264656
10;C;Short;41143.929688;30000;0.0;0.04;26;0.8447;-8989.810746788417;-9705.129726368556;-0.008723522602312444;-0.002797072902621501;0.0005808868416745221;0.00023918356463007925;34.95219998417588;14.391773378407471;-21072.604392979374;-23.684857331005873;0.9092715709555184;5.130852178954552
Options; ; ;41143.929688;;0.0;0.04;;;-10124.195079636576;-38195.59839759176;-0.0312697569783827;-0.026502037829206376;-0.005822578372505613;-0.00029468149251919864;-21.25114821189329;-3.9648511163638935;206474.95968214035;25.898485676340105;-4.123902000075667;-3.583344996399151
