;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
8;C;Short;42287.664063;70000;0.0;0.04;1;0.6212;-6.339799753508133e-50;-22283.030052368173;-4.792858448726181;-0.018975440033513067;-22.829360071846494;1.909079143931159e-55;-38853.694456523386;3.249095792356262e-52;440288734.3462109;-2.0795002776452676;-131.03721777332;-0.24590246667159077
9;C;Short;42287.664063;55000;0.0;0.04;2;0.6212;-4.631506702156667e-06;-1.7988139693832163e-05;-1.2849379207970317;-1.2280870627960214;-1.5921462010748864;-1.450418623399777;-5419.403945795722;-4936.986569073653;30668222.779713877;76536.81653411975;-69.85961209846748;-66.74449659156284
10;C;Short;42287.664063;30000;0.0;0.04;3;0.6212;-9999.999993266854;-9999.999999822921;-7.434901991667512e-10;-2.0022350490027125e-11;8.076861975200819e-10;2.230470596037943e-11;4.12384656903678e-06;1.1388232884318662e-07;-0.015613618330804362;-1.1812559419719823e-06;0.8219177471103943;0.8219178065735051
Options; ; ;42287.664063;;0.0;0.04;;;-9999.999997898361;-32283.030070179233;-1.3386100581501465e-09;-0.013097603350606408;7.028261688186463e-11;-8.012657330002441e-10;1.6138459969345885e-06;-2.7156181000382667e-06;-0.001409610385839876;-1.435311435684949;0.8219177143741965;0.08486578875123688
