;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
6;C;Short;41077.996094;47000;0.0;0.04;6;0.7623;-75.8516943903962;-93.20920624946393;-0.19259440126379898;-0.1825780554593482;-0.026322762052873348;-0.022806363117189643;-329.8494495272113;-285.78559897370417;757105.7732138357;1795.4444634575113;-30.01551801596695;-28.36899541797504
7;C;Short;41077.996094;60000;0.0;0.04;16;0.7623;-68.57628273235407;-348.070040884839;-0.17484409638825832;-0.1318247011616892;-0.0252515894415245;-0.012912880841989048;-843.8043454805094;-431.4954111056768;726692.7960954829;1013.4564320502426;-72.26042581403104;-53.40260872841169
8;C;Short;41077.996094;70000;0.0;0.04;19;0.7623;-38.95192534945959;-20989.873278998064;-0.19753620906340777;-0.019502168512191314;-0.033956350631119264;5.069490925041485e-06;-1347.4345085916223;0.20116434441376269;978702.5094092498;-2.540770209032596;-97.62158827958214;-4.946334294017393
9;C;Short;41077.996094;55000;0.0;0.04;20;0.7623;-41.18317764962346;-45.98293361843935;-0.1200706411475866;-0.11749292044517119;-0.010488139938447624;-0.009915699350502322;-438.08816849745875;-414.1774035555027;299930.7567507182;776.442650338757;-60.31268008086937;-58.90023038091568
10;C;Short;41077.996094;30000;0.0;0.04;21;0.7623;-9468.20045017878;-9884.922511379893;-0.006256680564166642;-0.0014962702335294873;0.0006151100424888467;0.0001795018526689003;26.977715323764947;7.872656186519332;-18122.329181677847;-14.452845798645408;2.153690634315083;4.892556851941942
Options; ; ;41077.996094;;0.0;0.04;;;-9692.763530300614;-31362.057971130696;-0.01015990759441531;-0.015701884596245944;3.519107581490718e-05;-0.00016566301355646826;10.525252141572436;-3.629562700311198;-1428.875281403131;11.466504548760877;0.7090938186952309;-2.5317499849112677
