;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
1;C;Short;37849.664063;30000;0.0;0.04;2;0.8063;-499.9717314309014;-499.98334477428944;-3.8773134147383986e-05;-2.3445430561620266e-05;2.5467811049136033e-05;1.585009193413824e-05;0.1125188824598268;0.070027008912305;-829.4071965780402;-1.4141387944031336;0.545820650183705;0.5466605243527773
2;C;Short;37849.664063;50000;0.0;0.04;3;0.8063;-0.05915590341612501;-0.10771909831780535;-0.5584806698814836;-0.5374134552341427;-0.28852714894878173;-0.26581340407134063;-1912.104987923858;-1761.5782002963442;9356519.804763032;23613.780423084576;-45.080603003957556;-43.349051115135026
3;C;Short;37849.664063;45000;0.0;0.04;4;0.8063;-179.76427723416825;-3103.6158204964922;-0.2914218067656989;-0.09880110992740028;-0.06950195248595684;-0.0028594719586361003;-614.1306771444055;-25.26676427669356;2247572.5179576217;243.8298815575718;-30.840745946925907;-9.73162848519455
4;C;Short;37849.664063;44000;0.0;0.04;6;0.8063;-64.94542849351564;-80.62480947803533;-0.18873022095977132;-0.1790517591655157;-0.025762636350148565;-0.02242309721924319;-341.46433461575003;-297.2012595267254;829890.6490386752;1977.3226857098389;-29.38031029475694;-27.7893302737834
5;C;Short;37849.664063;50000;0.0;0.04;6;0.8063;-14.848808067973184;-76.98317838083233;-0.2953049924829449;-0.2341388638627542;-0.07563410276666074;-0.044649286514375164;-1002.4730475741136;-591.7926528746417;2446748.7725051646;3950.6944131995283;-46.89945081911423;-36.84474474456232
6;C;Short;37849.664063;47000;0.0;0.04;14;0.8063;-72.1652763325118;-82.12387843442411;-0.12061181607474396;-0.11683728660945682;-0.009944133204989925;-0.009115004544336365;-307.5379847796364;-281.8958747873365;318419.3671843482;798.9553560856136;-42.42645000127165;-40.97868527486017
7;C;Short;37849.664063;60000;0.0;0.04;24;0.8063;-95.27604167909128;-316.158424710432;-0.12969801485120247;-0.10544571592793413;-0.013409823672957392;-0.008125756863125548;-710.9484379729674;-430.80314030058935;430711.59986683796;712.103830154549;-78.70554401174958;-62.75882691151832
8;C;Short;37849.664063;70000;0.0;0.04;27;0.8063;-85.56710775525322;-17733.084692775992;-0.14661953439037187;-0.02118067557170518;-0.018103308407766364;5.6674559430211575e-06;-1079.755710597026;0.3380303633566161;582601.0811259581;-2.825899336730098;-101.06102543945316;-8.270636724275066
9;C;Short;37849.664063;55000;0.0;0.04;28;0.8063;-36.022981586353005;-39.426833057536896;-0.09834682484064508;-0.09670198126208072;-0.006938272610939729;-0.006640599775586224;-429.15402129758814;-410.74201855765693;221601.5089543555;580.7976825354132;-67.77290672707016;-66.511108913377
10;C;Short;37849.664063;30000;0.0;0.04;29;0.8063;-8146.1819929052635;-9380.818854577916;-0.014436080125072425;-0.005189790752869382;0.0007128790535115045;0.00036574176863865657;45.668594642584836;23.43021932478662;-23750.27866882254;-33.140788746535705;-3.5245568117013812;3.82181008676131
Options; ; ;37849.664063;;0.0;0.04;;;-9194.802801388447;-31312.927555784267;-0.024343136035529966;-0.025874284749089427;-0.0014444620196257117;-0.0004531182141780581;2.906652360405201;-3.1249286482659433;45979.93457937088;37.518033580208375;-6.333946205569733;-5.481860339695606
