;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
7;C;Short;45868.949219;60000;0.0;0.04;4;0.6019;-0.08516930722513409;-116.66937246697294;-0.7162286109183258;-0.35154483855212587;-0.4816842060943716;-0.10080279488724112;-3177.268204363861;-664.9118053986895;8696665.508755917;4964.1047341092535;-77.394916265022;-37.42957134817818
8;C;Short;45868.949219;70000;0.0;0.04;7;0.6019;-0.0075538293111777205;-25833.775409492144;-0.6364042534743788;-0.017741798907677405;-0.38470560568792056;2.6051959647528895e-09;-4440.767475191548;3.0072526461077663e-05;6943170.610653842;-1.9444360199918895;-120.13232258412741;-1.4847285576367624
9;C;Short;45868.949219;55000;0.0;0.04;8;0.6019;-18.231745957255313;-23.540391313756004;-0.27547069018837833;-0.2644275688041035;-0.06190834875938538;-0.056172903950503034;-816.7152902635412;-741.0514167190743;1110400.1762769227;2758.7644345655085;-58.18535675361718;-55.7649465872008
10;C;Short;45868.949219;30000;0.0;0.04;9;0.6019;-9999.953886242954;-9999.997344983163;-2.2646126026786615e-06;-1.3568629033336282e-07;1.0852046013135632e-06;6.793808282862413e-08;0.01610592286513891;0.0010082942150436702;-19.74817653173156;-0.003386493552863207;2.465195027029476;2.46571996776403
Options; ; ;45868.949219;;0.0;0.04;;;-10018.278355336746;-35973.98251825603;-0.0005101441052263403;-0.014053997193637308;-0.00011596563407922172;-0.0003636568254099193;-1.5005809584925605;-2.6410371312196133;2080.21666329892;16.507357500785673;2.3540488675983373;-0.5386827612498559
