;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
6;C;Short;41247.824219;47000;0.0;0.04;7;0.7701;-99.45931909148287;-118.56938202433139;-0.16480016152691837;-0.1565975637940684;-0.018203293947060963;-0.015763238848945642;-268.8451963847166;-232.80792236441454;533184.8170645848;1263.448487523253;-29.687702210641874;-28.114601275574785
7;C;Short;41247.824219;60000;0.0;0.04;17;0.7701;-94.08679016331848;-416.30540353418326;-0.1616027793397065;-0.1228664025027482;-0.02122578896318472;-0.01097304801965554;-761.3196201899324;-393.5776787915737;622937.8518279335;877.9886312297366;-70.60951366506877;-52.56791349443066
8;C;Short;41247.824219;70000;0.0;0.04;20;0.7701;-59.88327295669952;-21153.1018829955;-0.1839950972452689;-0.01941481436139766;-0.029150611056346337;7.193377410362926e-06;-1230.075921889989;0.3035408188339993;857034.5351560153;-2.7120428503804486;-95.33977931247608;-5.158802389806935
9;C;Short;41247.824219;55000;0.0;0.04;21;0.7701;-48.20509941827573;-53.44474545341882;-0.11249250976400335;-0.11010738244680028;-0.008999677947688847;-0.008505805301978343;-398.7498403775856;-376.8677641756818;262365.0543887118;678.9474022822018;-58.968293288878634;-57.59602825706316
10;C;Short;41247.824219;30000;0.0;0.04;22;0.7701;-9425.785298560235;-9870.288800562124;-0.006457907491048335;-0.0016118590739131954;0.0006031646747814572;0.00018459181959495685;27.997086446801102;8.568195961484045;-18143.77775311639;-15.17293234015291;2.1349598684092235;5.0558657636687565
Options; ; ;41247.824219;;0.0;0.04;;;-9727.419780190012;-31611.710214569557;-0.011195917503177171;-0.015886370653481804;-3.1017189041017674e-05;-0.00015556356881161196;7.467807503159523;-3.8151244674124927;471.90671685808496;10.897055037103014;0.20310645305694605;-2.768526572468907
