;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
6;C;Short;42358.808594;47000;0.0;0.04;5;0.7467;-107.55388698417612;-132.58982887173624;-0.19683680478693089;-0.1845996885360843;-0.025951793614606283;-0.021630099172150762;-265.45485331543165;-221.2492472855475;715611.7850513326;1631.8380266279148;-25.594082847524774;-23.917765552888266
7;C;Short;42358.808594;60000;0.0;0.04;15;0.7467;-85.01805784655886;-443.6818873650885;-0.1796729242736946;-0.13212262400434788;-0.02653168836280303;-0.012701354347253458;-814.1593849522612;-389.7575873052394;732464.6718674073;955.6274431310316;-69.72859901658683;-50.18737972781419
8;C;Short;42358.808594;70000;0.0;0.04;18;0.7467;-44.585278278025434;-22272.367793352994;-0.20496318123624535;-0.018951669143093625;-0.03656632569732997;5.732405739415167e-06;-1346.5023484042003;0.21108759611283154;1011199.1277422087;-2.514726104162237;-96.14622636307989;-4.414521769196858
9;C;Short;42358.808594;55000;0.0;0.04;19;0.7467;-51.51455965601124;-57.52526367136352;-0.1203434709061708;-0.1175421081561168;-0.010313181039665817;-0.009692181194728654;-400.8662831891804;-376.7284445588324;282697.5811241132;727.3900666368869;-57.43906704704782;-55.980823423732005
10;C;Short;42358.808594;30000;0.0;0.04;20;0.7467;-9695.176474951859;-9941.576537041408;-0.004068626307797242;-0.0008608015156739498;0.00047684546975400386;0.00011896386506700607;19.51016505563368;4.867414687426489;-13456.264277737415;-9.180580780429995;3.250067776549456;5.007779991411528
Options; ; ;42358.808594;;0.0;0.04;;;-9983.84825771663;-32847.74131030259;-0.009137742844131219;-0.01584627575290107;-0.00025895693052471064;-0.00023595152566145957;1.0718222121824574;-5.201087863182795;6853.703118986045;16.284975622238413;1.5608603600919186;-2.3500982642909576
