;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
7;C;Short;45538.675781;60000;0.0;0.04;6;0.6422;-3.387114778598546;-246.76207953199076;-0.4440056941630685;-0.2485927037316178;-0.17882667245687442;-0.048327284587502815;-1887.8217378378863;-510.17724102072833;3669832.0956869284;2703.055498837215;-71.34340178023045;-39.2207184216358
8;C;Short;45538.675781;70000;0.0;0.04;9;0.6422;-0.3837580327248282;-25493.771372635172;-0.44970843780304914;-0.017844842744695454;-0.1883137630692353;9.477252777214206e-08;-2981.9613364042907;0.0015007294685408948;3865237.6799166272;-1.9609534741464485;-108.42125863636825;-1.9343447863632637
9;C;Short;45538.675781;55000;0.0;0.04;10;0.6422;-32.93323130671683;-39.96329320668133;-0.20994830110625573;-0.20245478605711067;-0.03422910112694157;-0.03128582653362096;-602.2446231156678;-550.4591178052433;697441.7999166592;1745.3374014033643;-54.78035646746732;-52.72733864578376
10;C;Short;45538.675781;30000;0.0;0.04;11;0.6422;-9998.820476580178;-9999.907053104664;-4.146544609798386e-05;-3.4456553878338357e-06;1.409103092325513e-05;1.243828213810512e-06;0.272717426433038;0.024073017172603337;-292.23035833566206;-0.07064893165283427;3.0012021943266345;3.012660213444764
Options; ; ;45538.675781;;0.0;0.04;;;-10035.524580698218;-35780.40379847851;-0.0008973481072920403;-0.014656089763732576;-0.00016584629804413707;-0.00036782065681436097;-2.455838677299266;-4.125486388876656;3384.029553220987;19.17425101941704;2.782229445049623;-0.8656348857764363
