;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
6;C;Short;44348.730469;47000;0.0;0.04;2;0.6434;-106.09690033243358;-155.29642597735528;-0.3625691134859573;-0.31987329698866473;-0.09134752311371269;-0.06432586681172332;-322.04381573349445;-226.77952168034403;1876224.5287273012;3612.693998339164;-19.318855533477112;-16.979358739104924
7;C;Short;44348.730469;60000;0.0;0.04;12;0.6434;-39.008235457889135;-414.9248062361643;-0.25454387610957185;-0.16844599573550684;-0.05550513093570262;-0.021123910783867425;-1174.0931915845829;-446.8314804933798;1138673.3249760962;1179.420892140239;-80.39798666616058;-52.09183421441321
8;C;Short;44348.730469;70000;0.0;0.04;15;0.6434;-8.686451933110204;-24275.484050715833;-0.2931936196951187;-0.01823375505465006;-0.07747666908767321;1.4687778440942446e-06;-2048.5680366168053;0.038836095817407;1591898.1428359528;-2.0815102121795106;-116.38093960073371;-3.3837349539657766
9;C;Short;44348.730469;55000;0.0;0.04;16;0.6434;-46.648166641426336;-53.795291122363324;-0.15526490268341386;-0.1507249554129093;-0.01779097978055486;-0.016483232011081306;-501.77386918614775;-464.89036606815193;362030.2701849888;918.2023889428558;-63.67776555985264;-61.687651687850654
10;C;Short;44348.730469;30000;0.0;0.04;17;0.6434;-9968.547614878884;-9996.178262228328;-0.0006897349705484348;-9.05698727258973e-05;0.00014261691077947116;2.063478741708802e-05;4.273740401982739;0.6183539118099324;-2979.4996039455505;-1.18006930920571;4.336287821936345;4.6153510181824595
Options; ; ;44348.730469;;0.0;0.04;;;-10168.987369243743;-34895.67883628004;-0.006398086202923378;-0.016369203765094407;-0.0011739690811172635;-0.0005559200568023982;-7.72601888385686;-6.834785688255239;24043.097559344627;29.73086065441745;3.3493255175591163;-1.8218721524601618
