;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
6;C;Short;46820.492188;47000;0.0;0.04;0;0.6834;-0.0;-820.4921879999965;;-0.5706390977606748;;;;-0.0;;;;-0.0
7;C;Short;46820.492188;60000;0.0;0.04;10;0.6834;-119.45671006216796;-907.1005499649535;-0.23023772790231434;-0.14474571612654996;-0.0436745125753025;-0.013948706089246067;-817.7304628482666;-261.1656367504318;1010668.0128005798;876.540436543179;-60.339103534880635;-36.91663455521917
8;C;Short;46820.492188;70000;0.0;0.04;13;0.6834;-35.10269298953735;-26752.067138371716;-0.2685668136224912;-0.01745768770910902;-0.06382029204739532;4.9335946023451305e-06;-1553.4033934451218;0.12008504429083453;1479574.6192410414;-2.2288101760556778;-92.09228978335301;-2.656162745710061
9;C;Short;46820.492188;55000;0.0;0.04;14;0.6834;-100.02908243129366;-112.737308558535;-0.1311131837811043;-0.1267304397339174;-0.011241469433619611;-0.010200657676544688;-294.66817247424393;-267.3857873592026;257263.77125642684;638.7240436364688;-46.45437186124549;-44.77331934999577
10;C;Short;46820.492188;30000;0.0;0.04;15;0.6834;-9991.314067687481;-9999.04488395918;-0.00021372289507520583;-2.5105064985547635e-05;5.045150489172659e-05;6.406723458088118e-06;1.4169270593016146;0.1799323895037296;-1186.6812578005217;-0.4126372232879118;4.021757714352654;4.099271891101831
Options; ; ;46820.492188;;0.0;0.04;;;-10245.90255317048;-38591.44206885438;-0.005092900667246926;-0.028013240544084564;-0.0007884005049043567;-0.00035258668652770453;-16.350971132402044;-6.79000725260577;18206.83753892457;20.817234106662934;2.4492969686627037;-1.777693701552813
