;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
9;C;Short;42207.671875;55000;0.0;0.04;0;0.6183;-0.0;-0.0;;;;;;;;;;
10;C;Short;42207.671875;30000;0.0;0.04;1;0.6183;-10000.0;-10000.0;-1.036060643795654e-25;-0.0;3.381235313681549e-25;3.108181931386986e-27;5.727719984792606e-22;5.265175036100201e-24;-6.467289154115198e-18;-0.0;0.273972602739726;0.273972602739726
Options; ; ;42207.671875;;0.0;0.04;;;-10000.0;-10000.0;-1.036060643795654e-25;-0.0;3.381235313681549e-25;3.108181931386986e-27;5.727719984792606e-22;5.265175036100201e-24;-6.467289154115198e-18;-0.0;0.273972602739726;0.273972602739726
