;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
6;C;Short;42892.957031;47000;0.0;0.04;4;0.7029;-99.3214371189357;-128.0253134857321;-0.2389418917244036;-0.2214013644675831;-0.03935157999642745;-0.03183853089897393;-303.12575977522033;-245.25263965905492;962560.9523221597;2130.5878419750493;-25.089522380756556;-23.167272818365266
7;C;Short;42892.957031;60000;0.0;0.04;14;0.7029;-58.992326597997696;-399.09734698207615;-0.20624970451109959;-0.14683401066221416;-0.035664986424241325;-0.01597723286912045;-961.547576455861;-430.7549527996347;872797.168584381;1065.2573741529188;-75.27385926453137;-52.48427806221912
8;C;Short;42892.957031;70000;0.0;0.04;17;0.7029;-22.756181707010313;-22811.804681070887;-0.2359414531721355;-0.01875342125438341;-0.04923040831308873;3.2939770063264287e-06;-1611.6956659057296;0.107837587511497;1206721.8198180413;-2.278107806246437;-105.23300558702202;-4.076935926699126
9;C;Short;42892.957031;55000;0.0;0.04;18;0.7029;-46.14032880783524;-52.19253622064207;-0.1342833278135342;-0.13091824253500206;-0.013139840910837221;-0.012303422640181944;-455.47368540299914;-426.48044911810956;319227.6822109736;818.35587224174;-61.29040823681139;-59.630914126850406
10;C;Short;42892.957031;30000;0.0;0.04;19;0.7029;-9836.648199405323;-9973.261195641957;-0.0025828699635548668;-0.00046452773970069404;0.00036986357095833324;7.641529082317715e-05;13.533054730152429;2.795983151979762;-9240.210119557489;-5.222740195678806;3.8609717997933566;4.963670491662654
Options; ; ;42892.957031;;0.0;0.04;;;-10063.858473637101;-33364.381073401295;-0.007240859840165907;-0.015771646906605107;-0.00040747501408519213;-0.0003074387846084576;-1.1330307736407996;-5.851322718646475;9776.392222583287;19.07924300802042;2.565999201499485;-2.1137183915690474
