;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
3;C;Short;40951.378906;45000;0.0;0.04;0;0.8032;-0.0;-5951.378905999998;;-0.06880990028162057;;;;-0.0;;;;-0.0
4;C;Short;40951.378906;44000;0.0;0.04;2;0.8032;-107.28269825146958;-148.6989772052666;-0.2895375491426048;-0.26057714604448634;-0.057544371480253965;-0.04277962714503317;-253.25829683802735;-188.2772412213186;1844599.2072195665;3752.050604157558;-15.317125980416703;-13.73025457778008
5;C;Short;40951.378906;50000;0.0;0.04;2;0.8032;-1.739833827092361;-60.52806388028264;-0.6137200487936264;-0.3990335854527149;-0.34391144082716746;-0.1327397311477796;-1513.5872288897585;-584.2002852487485;11068834.716027074;11687.012019800051;-33.08055061882885;-21.31690879192958
6;C;Short;40951.378906;47000;0.0;0.04;10;0.8032;-133.29756878243964;-151.68750290475236;-0.12145382500179173;-0.11635523699210812;-0.008934471283186465;-0.007834415623896659;-196.60732423713338;-172.40007203051482;283336.72715968796;679.6074304260967;-30.535294521038836;-29.138421093728237
7;C;Short;40951.378906;60000;0.0;0.04;20;0.8032;-162.9081653261693;-542.5259363804992;-0.1327171200014344;-0.10396675668032589;-0.013759036629494134;-0.007501070397652151;-605.5483956608048;-330.1293010079018;438509.84534765984;651.5060192534202;-67.24225753503254;-51.48863379743883
8;C;Short;40951.378906;70000;0.0;0.04;23;0.8032;-139.1639219142798;-20836.08345010827;-0.15237800147696007;-0.019502446565043668;-0.019427848239234952;1.373853905859407e-05;-983.2939650200847;0.6953432195968317;620579.4998039828;-3.351384144130836;-89.71764476630364;-5.98784304098642
9;C;Short;40951.378906;55000;0.0;0.04;24;0.8032;-60.833644393547104;-66.43151431129172;-0.09610769199239028;-0.09421772068976116;-0.006261526885366611;-0.005930693898763623;-330.6909629146166;-313.2186305416074;198130.70943645513;513.7939454416581;-56.618756378558;-55.3760355220347
10;C;Short;40951.378906;30000;0.0;0.04;25;0.8032;-9134.407420718175;-9769.2488660491;-0.008215158141026944;-0.002411698453348994;0.0006145367682625928;0.00022871184804111824;33.80794056633661;12.582284681275764;-20151.41896554462;-20.47647783291635;1.2224944239541473;5.197466812774654
Options; ; ;40951.378906;;0.0;0.04;;;-9739.633253213173;-37526.58321683946;-0.017663195420979914;-0.026185237237127325;-0.0007880589087491258;-0.00046705713864229626;-0.28752191454922976;-4.050773216471334;24713.5038299339;39.60199995551345;-2.2062877010118362;-3.0205884556607034
