;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
7;C;Short;46281.644531;60000;0.0;0.04;5;0.6072;-1.094671832538097;-236.5960698272686;-0.5539482059104522;-0.28256245290832704;-0.28256025845936594;-0.06245257895461631;-2350.2820402263974;-519.4685745375756;5186725.151876541;3123.247436328233;-74.5134528644455;-37.337322316209175
8;C;Short;46281.644531;70000;0.0;0.04;8;0.6072;-0.08007847047466865;-26241.084589739487;-0.5401615253046212;-0.017621593467962632;-0.27445250482685146;2.30773358665213e-08;-3652.5492806764773;0.0003071245663156544;5037813.488848853;-1.9322990684647987;-116.19978636813617;-1.6704862395534537
9;C;Short;46281.644531;55000;0.0;0.04;9;0.6072;-30.87259114208983;-38.4082589207394;-0.23670819559244677;-0.2273119870852432;-0.04401088996077868;-0.039846862154491826;-658.9334560483927;-596.5894035667584;801854.4721601529;1987.5840186709243;-55.900650968000555;-53.58377763745724
10;C;Short;46281.644531;30000;0.0;0.04;10;0.6072;-9999.894331351921;-9999.99330900349;-4.696500132580864e-06;-3.103151553551595e-07;2.0341569181589548e-06;1.4089360942985948e-07;0.033839454265921026;0.0023438520450907037;-37.686712855540954;-0.007149941949208301;2.7384393150321698;2.7396410095464776
Options; ; ;46281.644531;;0.0;0.04;;;-10031.941672797024;-36516.08222749099;-0.000797892064675407;-0.014733142731228638;-0.00016643611022837526;-0.0004465010435401864;-2.279705271935255;-3.9923966848688393;3036.2661035401075;20.936270838324454;2.5486026330676896;-0.7484620641024172
