;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
7;C;Short;47062.664063;60000;0.0;0.04;7;0.6284;-22.338121665525968;-594.4845391274552;-0.3605530221164492;-0.19885248549086296;-0.11418852971679275;-0.02833423003877621;-1376.143847995145;-341.4701673823802;2240153.6636814442;1510.9211838175772;-67.22934670726424;-36.218284888658644
8;C;Short;47062.664063;70000;0.0;0.04;10;0.6284;-2.616770429231624;-27011.026553912696;-0.39522414499897046;-0.017403027234632256;-0.1434586703890593;5.36038567390183e-07;-2469.847355410544;0.009228674951999754;2816686.0768055147;-1.9361775635081975;-105.54086164355355;-2.0282266396252755
9;C;Short;47062.664063;55000;0.0;0.04;11;0.6284;-67.55411884607966;-79.45393610486099;-0.17726556137927416;-0.17043137669703384;-0.022508191219527986;-0.02027868294030662;-426.2619753037404;-384.0393642645902;437318.4876699095;1078.2786638727043;-50.408799319781245;-48.349182018284196
10;C;Short;47062.664063;30000;0.0;0.04;12;0.6284;-9999.484922655227;-9999.960299685114;-1.8601029129732108e-05;-1.5055376954708096e-06;6.525673820884668e-06;5.580043456213057e-07;0.1348186332836359;0.011528216902633264;-129.5890855057494;-0.03034970502244178;3.28155582603954;3.2871762615795714
Options; ; ;47062.664063;;0.0;0.04;;;-10091.993933596064;-37684.925328830126;-0.0021055608813620626;-0.015970440507032304;-0.0004341484301926422;-0.0004891988966574494;-6.4061797801258376;-6.186760739531464;8487.746571154144;24.712563979620526;2.7378724794066907;-1.2547615342906786
