,Type,Position,Payoff,Spot,Strike,Interest Rate (%),Dividend Yield (%),Implied Volatility (%),Maturity T (minuts)
Opt 1,C,0,1000,35154.98,35500,0,0,0,3
Opt 2,C,0,5000,35154.98,35600,0,0,0,1
