Date,Positions,Spot,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
12/03/2022,Options,38904.011719,-10081.531632858188,-10089.63104224101,-0.03063730279852381,-0.030665901116526333,-0.0022332703360233323,-0.002238034883545326,-17.87921324542028,-18.04380057447853,71549.33906585364,196.44782423213698,-7.058121617285879,-7.058020523788346
12/03/2022,Delta_hedge,38904.011719,1191.9139871123218,1193.0265764110356,-0.25913861289360435,-0.2593468024613364,0,0,0,0,0,0,0,0
12/03/2022,Cash,38904.011719,28889.617645745864,28896.604465829972,0,0,0,0,0,0,0,0,0,0
12/03/2022,Portfolio,38904.011719,20000.0,20000.0,0.0,0.0,0.0011257392768671529,0.0011290473117318584,9.012492695216084,9.102764519813238,-36066.34625512498,-99.10430327766375,3.5578338176613893,3.5606411486794523
13/03/2022,Options,37849.664063,-9194.802801388447,-9201.094206745629,-0.024343136035529966,-0.024358817984185044,-0.0014444620196257117,-0.0014511569239390595,2.906652360405201,2.753906725967814,45979.93457937088,126.56693632126205,-6.333946205569733,-6.327056357994136
13/03/2022,Delta_hedge,37849.664063,921.3795211847188,921.9730776731667,-0.242929574912049,-0.2430957958155347,0,0,0,0,0,0,0,0
13/03/2022,Cash,37849.664063,29160.152111673466,29167.657964567843,0,0,0,0,0,0,0,0,0,0
13/03/2022,Portfolio,37849.664063,20886.728831469736,20888.536835495383,0.0,0.0,0.0027917782133209538,0.0028012552768069995,15.980176466869016,16.21806391889751,-89311.7489356418,-245.52827591746572,9.60192190167672,9.605339480146156
14/03/2022,Options,39666.753906,-10234.61834592708,-10242.667108780191,-0.030163038498014768,-0.03021137691042032,-0.003072810865093061,-0.003082059883054949,-17.393383720416423,-17.58756948801933,102909.2585946715,282.79646224621047,-5.407807901976279,-5.409970181560308
14/03/2022,Delta_hedge,39666.753906,1196.4698251579557,1198.3872530670535,-0.25801502109752894,-0.2582179306391614,0,0,0,0,0,0,0,0
14/03/2022,Cash,39666.753906,28885.06180770023,28891.243789173957,0,0,0,0,0,0,0,0,0,0
14/03/2022,Portfolio,39666.753906,19846.913286931107,19846.963933460822,0.0,0.0,0.007460670246865434,0.007487128104835724,42.60420030980675,43.21501633874238,-241049.95470984132,-662.7735575952261,22.998655831681724,23.01084943098675
15/03/2022,Options,39338.785156,-9755.01237179823,-9761.191830972819,-0.02316978697118156,-0.02320624720091772,-0.0022856557742638385,-0.0022997419841354412,-2.033872090044771,-2.2263968762681046,76010.69610934501,209.54354462115012,-4.327312450680036,-4.325453904031881
15/03/2022,Delta_hedge,39338.785156,911.4712717695993,912.9055729139285,-0.24797441845532903,-0.24813150157698832,0,0,0,0,0,0,0,0
15/03/2022,Cash,39338.785156,29170.060361088585,29176.72546932708,0,0,0,0,0,0,0,0,0,0
15/03/2022,Portfolio,39338.785156,20326.519261059955,20328.43921126819,0.0,0.0,0.015666191892947868,0.015723870498403025,84.17398787476303,85.45201184732974,-507203.43441072875,-1394.7691816674485,46.98874560080157,47.00865486287634
16/03/2022,Options,41143.929688,-10124.195079636576,-10132.367078770698,-0.0312697569783827,-0.03137965980893558,-0.005822578372505613,-0.005860617154944996,-21.25114821189329,-21.513154360074832,206474.95968214035,569.3907713384068,-4.123902000075667,-4.131113627019389
16/03/2022,Delta_hedge,41143.929688,1286.560682479425,1291.082516812205,-0.2460677712705063,-0.24626639107167964,0,0,0,0,0,0,0,0
16/03/2022,Cash,41143.929688,28794.97095037876,28798.548525428803,0,0,0,0,0,0,0,0,0,0
16/03/2022,Portfolio,41143.929688,19957.33655322161,19957.26396347031,0.0,0.0,0.034865735714434715,0.035008076096310396,182.24271220247368,185.00488044827836,-1137915.0453253766,-3130.5011281794627,97.80796491295574,97.86327067953424
17/03/2022,Options,40951.378906,-9739.633253213173,-9744.144193834287,-0.017663195420979914,-0.017666621395065828,-0.0007880589087491258,-0.0007914645659701841,-0.28752191454922976,-0.45970249996647483,24713.5038299339,68.00882579174223,-2.2062877010118362,-2.2070197878140214
17/03/2022,Delta_hedge,40951.378906,723.3322083752726,723.472506738187,-0.23783407331825324,-0.23794422688918593,0,0,0,0,0,0,0,0
17/03/2022,Cash,40951.378906,29358.19942448291,29366.158535502822,0,0,0,0,0,0,0,0,0,0
17/03/2022,Portfolio,40951.378906,20341.898379645012,20345.486848406723,0.0,0.0,0.0687905239862312,0.06905919658441587,357.7325235718884,363.16957808742166,-2244638.463362935,-6174.104529764222,192.97419083039043,193.04879744957805
18/03/2022,Options,41801.15625,-9993.730802881128,-9997.467034625875,-0.016595083316292995,-0.016601002444596807,-0.0015195479632600466,-0.0015231525399636186,-2.8258731999527558,-2.9997677080025804,43602.67186935002,119.74641443820215,-0.5974780540397634,-0.5991156945615422
18/03/2022,Delta_hedge,41801.15625,693.6936706861317,693.9410970932231,-0.2390778557203457,-0.2391672367824963,0,0,0,0,0,0,0,0
18/03/2022,Cash,41801.15625,29387.837962172052,29395.689945147788,0,0,0,0,0,0,0,0,0,0
18/03/2022,Portfolio,41801.15625,20087.80082997706,20092.164007615134,0.0,0.0,0.14007733718211085,0.14061768647596673,725.9210912460393,736.9894961338225,-4567755.782881094,-12563.479262721563,391.1276232209501,391.26363768726094
19/03/2022,Options,42190.652344,-9992.86133464014,-9995.998777837392,-0.011266643296537126,-0.011271254317712767,-0.00021630737148972733,-0.00022015009779835355,-1.09184501352599,-1.2611714791420041,5582.79156310773,15.58847181439195,0.3639275593795746,0.36232125461584014
