,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
1,C,Short,37849.664063,30000,0.0,0.04,2,0.8063,-999.9434628618028,-999.9784722854201,-3.8773134147383986e-05,-1.5371444949938072e-05,2.5467811049136033e-05,1.0563724903608281e-05,0.1125188824598268,0.04667140487550332,-829.4071965780402,-0.9424633856902883,0.545820650183705,0.5471029345232815
2,C,Short,37849.664063,50000,0.0,0.04,9,0.8063,-11.60489903066959,-14.330069414054947,-0.20648817598204797,-0.20046978742312713,-0.03495564368968623,-0.03260443139651706,-694.9660809943726,-648.2207597674119,1128008.0849251815,2881.699589341293,-48.4491392832447,-46.96515306323686
3,C,Short,37849.664063,45000,0.0,0.04,14,0.8063,-118.11223356731071,-132.92984932085528,-0.10605879133137659,-0.10225440188986201,-0.006894754937956009,-0.006176237426855673,-213.23115805653435,-191.00987211460847,219878.44549124147,538.8342520276597,-36.84446790792528,-35.38525003994706
4,C,Short,37849.664063,44000,0.0,0.04,6,0.8063,-64.94542849351564,-80.62480947803533,-0.18873022095977132,-0.1790517591655157,-0.025762636350148565,-0.02242309721924319,-341.46433461575003,-297.2012595267254,829890.6490386752,1977.3226857098389,-29.38031029475694,-27.7893302737834
5,C,Short,37849.664063,42000,0.0,0.04,2,0.8063,-37.80122786021992,-58.77681121543014,-0.3647600326335256,-0.33189134687829425,-0.10493959844973108,-0.08312647441927597,-463.6317711233876,-367.25959629732733,3396574.559337843,7366.663657910956,-19.438905897727434,-17.63788202072846
6,C,Short,37849.664063,53000,0.0,0.04,4,0.8063,-0.027181769074031723,-0.04514750100459697,-0.5046913972716558,-0.49003998367105156,-0.23627676577201503,-0.2219340844671901,-2087.7803423778164,-1961.046052667346,7660221.230004385,19711.18989141186,-54.212755865386924,-52.60712149819744
7,C,Short,37849.664063,60000,0.0,0.04,3,0.8063,-1.1210148899058198e-07,-2.555518170815741e-07,-0.8884405452721335,-0.8694767392675198,-0.7621348954527445,-0.7290753526609003,-5050.761914001765,-4831.672248086169,24738407.47668516,64834.337105086466,-72.20059276209315,-70.64192377541258
8,C,Short,37849.664063,70000,0.0,0.04,6,0.8063,-9.51398940111704e-07,-1.4990249723298345e-06,-0.5962843335079333,-0.5888137483666062,-0.3404589870023723,-0.33169944347059294,-4512.527362520759,-4396.426212663108,11043103.181044502,29475.792926517955,-96.37550687801644,-95.14746548492155
9,C,Short,37849.664063,55000,0.0,0.04,13,0.8063,-5.5210232205669385,-6.573623071776979,-0.18798140898755625,-0.18417964058516353,-0.02951515814636251,-0.02815437716276094,-847.6025648612529,-808.5242903625865,951900.0168612066,2487.174142565631,-63.3906388174858,-62.036584318003484
10,C,Short,37849.664063,70000,0.0,0.04,29,0.8063,-2.3053064224008404,-2.547198810931121,-0.13764822742968152,-0.13632349831156168,-0.015781874107774936,-0.015434961033841147,-1011.0214457530662,-988.7974338794461,507499.4260310963,1359.6593539498135,-101.4191396016648,-100.36661509685717
Options, , ,37849.664063,,0.0,0.04,,,-1240.2607642890614,-1295.8059828520854,-0.03416726517967177,-0.040132863089821336,-0.005676479770408225,-0.006332619506638827,-64.42774710857923,-67.99133310327831,183152.8728242665,559.5690876811136,-6.1248639238605875,-6.770088134214075
