,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
8,C,Short,42287.664063,70000,0.0,0.04,1,0.6212,-6.339799753508133e-50,-9.10175312157778e-50,-4.792858448726181,-4.785364538679222,-22.829360071846494,-22.75767261883019,-38853.694456523386,-38731.68830360905,440288734.3462109,1202481.8151990096,-131.03721777332,-130.83190516929372
9,C,Short,42287.664063,55000,0.0,0.04,2,0.6212,-4.631506702156667e-06,-4.642343596426282e-06,-1.2849379207970317,-1.2848540910206858,-1.5921462010748864,-1.5919317620656592,-5419.403945795722,-5418.674030658852,30668222.779713877,84011.2017683482,-69.85961209846748,-69.85501868606394
10,C,Short,42287.664063,30000,0.0,0.04,3,0.6212,-9999.999993266854,-9999.999993511665,-7.434901991667512e-10,-7.17421322996318e-10,8.076861975200819e-10,7.801099166430852e-10,4.12384656903678e-06,3.9830488785097346e-06,-0.015613618330804362,-4.131645472876372e-05,0.8219177471103943,0.8219177492531571
Options, , ,42287.664063,,0.0,0.04,,,-9999.999997898361,-9999.999998154008,-1.3386100581501465e-09,-1.3138947389525742e-09,7.028261688186463e-11,4.10804939871951e-11,1.6138459969345885e-06,1.4675142074612502e-06,-0.001409610385839876,-2.3155682466469148e-06,0.8219177143741965,0.8219177164424948
