,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
2,C,Short,41247.824219,50000,0.0,0.04,2,0.7701,-0.3273231612182665,-0.653055364362384,-0.6428583619153272,-0.6079571555374328,-0.3778857505051818,-0.33501566964805835,-1594.5743367892626,-1413.674340799834,11179618.648471262,27150.139804546066,-34.677170515908344,-32.76477564588673
3,C,Short,41247.824219,45000,0.0,0.04,7,0.7701,-190.27281380062078,-220.50167396729557,-0.13384764494275211,-0.12584386361100014,-0.009666948942503426,-0.007816651975171188,-142.77156620370744,-115.44445425357627,281297.23594313563,621.2358503782053,-23.75160313970588,-22.21663137745207
9,C,Short,41247.824219,55000,0.0,0.04,6,0.7701,-1.4880015641777302,-2.0301212929257417,-0.32970900722196955,-0.32016731164947615,-0.0958867768063724,-0.08984089343196276,-1213.8477833192446,-1137.3118690184306,2830113.5142608285,7263.612090751862,-52.55490529676212,-50.98640739443443
10,C,Short,41247.824219,70000,0.0,0.04,22,0.7701,-1.8379498310940166,-2.0780738140706205,-0.16897226518449154,-0.16703948375776068,-0.024270393208144007,-0.023645177174745603,-1126.5585090712805,-1097.53786501363,712923.8102109488,1902.6350073475553,-95.81889956325517,-94.65393541563652
Options, , ,41247.824219,,0.0,0.04,,,-193.92608835711079,-225.26292443865432,-0.13654253919176654,-0.1293728703597272,-0.011088429575299302,-0.009650469402450419,-162.764352306273,-137.47734493492362,323340.17964402155,769.8289426325682,-24.6740763702003,-23.174732770767456
