,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
2,C,Short,42358.808594,50000,0.0,0.04,0,0.7467,-0.0,-0.0,,,,,,,,,,
3,C,Short,42358.808594,45000,0.0,0.04,5,0.7467,-229.02238805901348,-270.17163581316527,-0.15134612801255012,-0.13969521380475589,-0.011337381541077378,-0.008363251618269556,-115.96743557154079,-85.54575319673795,310010.18199513166,623.4610745934959,-19.362483289390426,-17.766467644487093
9,C,Short,42358.808594,55000,0.0,0.04,4,0.7467,-0.3550436453248074,-0.5547326668867072,-0.46613790887915413,-0.4501713866445072,-0.19723444837625725,-0.18288495286606166,-1613.9721929046714,-1496.550074576309,5479865.212411084,13919.090407985454,-49.98771604155111,-48.23796018021996
10,C,Short,42358.808594,70000,0.0,0.04,20,0.7467,-1.4707384575618627,-1.6844789428607214,-0.18643867123868038,-0.1841628944731218,-0.029855481038663683,-0.029040980444505298,-1221.5390515928862,-1188.2137039951842,824854.8821152252,2197.9156969222545,-96.6787239664002,-95.43172299897087
Options, , ,42358.808594,,0.0,0.04,,,-230.84817016190013,-272.4108474229127,-0.15205385194286722,-0.14060243225595148,-0.01174126974729976,-0.008846507291830882,-125.31498102323532,-95.23755203386773,321241.4864240117,660.2718538657488,-19.902168151287576,-18.30876990943893
