,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
7,C,Short,45555.992188,60000,0.0,0.04,1,0.6359,-5.469528368988486e-13,-5.706436309912419e-13,-2.527124443460425,-2.5256192240054975,-6.272032341577844,-6.264444010723047,-10927.08319454617,-10913.862866900796,126709627.73452894,346729.489664178,-68.9623135194637,-68.92107463028792
8,C,Short,45555.992188,70000,0.0,0.04,4,0.6359,-2.108996047755371e-06,-2.266559608850768e-06,-0.997470846108648,-0.995854504809938,-0.9628786492400799,-0.959675165392108,-6710.077074539913,-6687.752741620184,19428005.844536588,53050.13986470017,-108.21598313519434,-108.03884984218477
9,C,Short,45555.992188,55000,0.0,0.04,5,0.6359,-5.000244394741314,-5.003778478624099,-0.3885624736631076,-0.3885324593742371,-0.13059127564187892,-0.13056843243755753,-1137.5752353516546,-1137.3762491374605,2624809.4374379045,7189.996668607064,-51.85787310453527,-51.85376155810786
10,C,Short,45555.992188,30000,0.0,0.04,6,0.6359,-9999.998062316688,-9999.998103421603,-1.249894043201739e-07,-1.2242960523269834e-07,7.905167160420404e-08,7.749366641521254e-08,0.0008263390351744661,0.000810052972166031,-1.6033010949279463,-0.004306022651769715,1.6438150702349064,1.6438154910235383
Options, , ,45555.992188,,0.0,0.04,,,-10004.998308820426,-10005.001884166788,-0.00019431880630017346,-0.00019443843529179662,-6.518739814311349e-05,-6.522365097190016e-05,-0.5677067383347453,-0.5680252231173515,1310.214778454344,3.5916245724823974,1.6170762603079558,1.6170598465570496
