,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
7,C,Short,47465.730469,60000,0.0,0.04,8,0.6372,-55.34036491897365,-55.620835730024965,-0.30314358941382286,-0.302972350021077,-0.0786080905271653,-0.07850685351457018,-1097.8427459487061,-1096.4288670571755,1583712.1949688108,4333.325513737824,-64.25064973453651,-64.21311781283768
8,C,Short,47465.730469,70000,0.0,0.04,11,0.6372,-8.6499084259402,-8.866994051264676,-0.34580188238848786,-0.3452455801541476,-0.10839913128677603,-0.10802156449477401,-2081.6197014117,-2074.369177689795,2186799.5015905076,5970.292322582542,-101.20056729516072,-101.03291456700374
9,C,Short,47465.730469,55000,0.0,0.04,12,0.6372,-89.42759198487343,-89.45303009295458,-0.15642616851486552,-0.15641476977497776,-0.016636177266213383,-0.016632834346968075,-348.5119612284219,-348.44193027558276,331477.1820868384,907.9719802484566,-48.14011019666812,-48.136362665755506
10,C,Short,47465.730469,30000,0.0,0.04,13,0.6372,-9999.092116205302,-9999.102069268702,-3.0062282240404633e-05,-2.9752246451132508e-05,9.658608509585304e-06,9.56583392069148e-06,0.2192001354794543,0.21709463524778227,-197.28375709554123,-0.5353093723898479,3.5509367213938283,3.5510471450985954
Options, , ,47465.730469,,0.0,0.04,,,-10152.50998153509,-10153.042929142946,-0.0033545047128421325,-0.003368658727450084,-0.0006578667682312873,-0.0006615406929029186,-10.611722746323597,-10.674252524819256,13221.299383769174,36.42552951598415,2.6367922070108607,2.633091775053633
