,Type,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
12/03/2022,C,38904.011719,50000,0.0,0.04,7,0.8073,52.609402293899024,52.73418621476367,0.23684742262591696,0.23677517910808107,0.04650982314097043,0.046476678822616926,720.0867439779123,719.5735882040982,-1506126.105744103,-4123.4217334319255,43.504985161134734,43.491130239905814
13/03/2022,C,37849.664063,50000,0.0,0.04,6,0.8063,14.848808067973184,14.892738159758778,0.2953049924829449,0.2952187252699322,0.07563410276666074,0.0755843571352638,1002.4730475741136,1001.8137067095664,-2446748.7725051646,-6699.000527316672,46.89945081911423,46.885269907385585
14/03/2022,C,39666.753906,50000,0.0,0.04,5,0.8232,35.05468780461703,35.156134028483166,0.2888832499179526,0.28878521584884453,0.07077104587945687,0.07071589176453799,798.0647255886151,797.4427685009409,-2386373.789684882,-6532.9011754117755,38.203184920267475,38.1897555957312
15/03/2022,C,39338.785156,50000,0.0,0.04,4,0.8205,11.27808329190997,11.319337792514261,0.3649634433894877,0.36483802413663147,0.11702246122332005,0.11693273772443434,1052.2403225614696,1051.4335485249312,-3924495.9922833615,-10743.7830828384,38.90010338514933,38.886358809494794
16/03/2022,C,41143.929688,50000,0.0,0.04,3,0.8447,24.117288257158677,24.20893362904053,0.3791178024596508,0.378961628516202,0.12434187917007546,0.12422596139769972,863.2733041229816,862.4685171997413,-4420844.294523766,-12100.589233162611,30.33844951723157,30.32561330270132
17/03/2022,C,40951.378906,50000,0.0,0.04,2,0.8032,1.739833827092361,1.7505529618233595,0.6137200487936264,0.6134534583359235,0.34391144082716746,0.3435881706281465,1513.5872288897585,1512.1644857453593,-11068834.716027074,-30297.03509751095,33.08055061882885,33.06594292251611
18/03/2022,C,41801.15625,50000,0.0,0.04,1,0.7633,0.016556735850198054,0.01675339180984281,1.1787804572933467,1.1781758619832143,1.317515144130932,1.3160984739210517,2755.230984972987,2752.26839765463,-38333836.329353586,-104911.20823353161,32.021382391598536,32.004818136526126
19/03/2022,C,42190.652344,50000,0.0,0.04,0,0.7469,0.0,0.0,,,,,,,,,,
