,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
1,C,Short,38904.011719,30000,0.0,0.04,3,0.8073,-999.7759179525235,-999.8955167971217,-0.00011516869386257061,-5.5901787226125445e-05,5.638335965308885e-05,2.8644408210891036e-05,0.37412290066798876,0.19006545820810133,-1841.9523721525466,-2.5634569634476705,0.8124518881756789,0.8173231407759268
2,C,Short,38904.011719,50000,0.0,0.04,10,0.8073,-25.41899122053623,-30.346932898064324,-0.1744816921202852,-0.16923883389713265,-0.02375453158126908,-0.02204134600885253,-525.3981738509187,-487.5062639163465,767101.6833086588,1949.2723127753582,-45.06347729322883,-43.62707778003632
3,C,Short,38904.011719,45000,0.0,0.04,15,0.8073,-163.2159678510669,-180.8295621605157,-0.09227844388529535,-0.08885299494055851,-0.004610455211972462,-0.004060164366219197,-152.95974627227542,-134.7029051855655,146548.2194294112,352.7482033403242,-33.8130591309433,-32.40534038653085
4,C,Short,38904.011719,44000,0.0,0.04,7,0.8073,-122.25739923489203,-144.68895172841985,-0.14828549357221224,-0.14045024955909458,-0.013952994209275956,-0.011882144308547123,-216.02675500284752,-183.96489233433076,448750.1213252298,1045.4286031256052,-26.52050561658865,-25.017856079826355
5,C,Short,38904.011719,42000,0.0,0.04,3,0.8073,-138.4510486348629,-178.99769310457032,-0.21799487219629649,-0.19869567274073474,-0.030205391466301138,-0.022854743195650607,-200.42311669105405,-151.64904806998973,975573.1629156665,2018.6630735361518,-17.095468947640807,-15.509233375950796
6,C,Short,38904.011719,53000,0.0,0.04,5,0.8073,-0.44148760144361365,-0.6421419365422452,-0.379636672244612,-0.36851159565350633,-0.12981276915097462,-0.12166726591459039,-1435.5869662408468,-1345.506627025327,4214979.689248974,10821.890167575075,-50.6351605814537,-49.111177486781685
7,C,Short,38904.011719,60000,0.0,0.04,4,0.8073,-0.00011462942256086102,-0.00020264518644973542,-0.6336230005887652,-0.6203111059898391,-0.3815732204595872,-0.3650718906001825,-3375.825324679724,-3229.8360250030405,12408853.597277557,32525.10348802537,-68.34224663986468,-66.8834088755988
8,C,Short,38904.011719,70000,0.0,0.04,7,0.8073,-5.279861328247801e-05,-7.645872491611775e-05,-0.491371668145257,-0.48515618532377514,-0.22876782969327258,-0.2227760091114444,-3541.8900887113778,-3449.1219317525583,7435125.647882002,19835.947452467488,-92.31785416484378,-91.12584376072398
9,C,Short,38904.011719,55000,0.0,0.04,14,0.8073,-11.34443965443194,-13.225068137775452,-0.16584762618873167,-0.16239515513710073,-0.022243353035530742,-0.021160556357159313,-688.763903227878,-655.2351782462632,718202.7776763475,1871.3866970920794,-59.777171688828595,-58.45293621697014
10,C,Short,38904.011719,70000,0.0,0.04,30,0.8073,-3.816590488095835,-4.188998129424704,-0.1285947364519777,-0.12732845901390652,-0.01353718974561178,-0.013228619215131705,-898.2388998601965,-877.7641884144502,435988.0710550124,1167.0779117840918,-97.47512585094059,-96.43434987444361
Options, , ,38904.011719,,0.0,0.04,,,-1464.722010065889,-1552.8151439963453,-0.04810617254919063,-0.051560905757925046,-0.005153975362498713,-0.00489310530462891,-70.99122094537005,-68.21962429130795,166026.61907704384,431.1987525884814,-8.557099362246076,-8.99723475483158
