,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
6,C,Short,43960.933594,47000,0.0,0.04,3,0.6774,-130.3935776441888,-130.4670413983331,-0.2647255280835125,-0.26467955073995,-0.045826702459716206,-0.045803809648967284,-255.14801298256245,-255.020553338641,1040837.668175852,2850.17606903058,-20.93634477398733,-20.932565814236565
7,C,Short,43960.933594,60000,0.0,0.04,13,0.6774,-60.6893983959957,-60.91383497818015,-0.22137913730709147,-0.22128607617465193,-0.04121851314013811,-0.04117859263386951,-994.4615627799567,-993.4984176777554,936843.3570419744,2564.1949639307823,-75.28572013677231,-75.2525750759037
8,C,Short,43960.933594,70000,0.0,0.04,16,0.6774,-19.25505301557165,-19.610531241202267,-0.2554301132385242,-0.2550942557168281,-0.05801844857798456,-0.05785102249117161,-1722.8141179935012,-1717.8425264885361,1320931.2751204937,3608.5023633873566,-107.58580306346265,-107.43857784847256
9,C,Short,43960.933594,55000,0.0,0.04,17,0.6774,-52.800040662457576,-52.81343770116109,-0.13953196405669832,-0.13952464795902392,-0.014050354875256459,-0.014048431101523933,-443.29062102048874,-443.22992569553566,316783.5724316639,867.7800736980296,-60.32995586202387,-60.32654836449087
10,C,Short,43960.933594,30000,0.0,0.04,18,0.6774,-9928.917692645144,-9929.35389894592,-0.0013224748344189262,-0.0013152524531934377,0.00022876482873052096,0.00022770891514500776,7.642124136101339,7.606850257934353,-5301.573534418959,-14.457693823824348,4.279327478916692,4.282889201167452
Options, , ,43960.933594,,0.0,0.04,,,-10192.055762363358,-10193.158744264796,-0.007198766824031048,-0.007205053950546619,-0.0007912687190095322,-0.0007946178951467706,-7.292302592956595,-7.392680716527168,17866.553249845285,49.15929784864903,2.936903662105371,2.9351460599493855
