,Type,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
12/03/2022,C,38904.011719,70000,0.0,0.04,7,0.8073,5.279861328247801e-05,7.645872491611775e-05,0.491371668145257,0.48515618532377514,0.22876782969327258,0.2227760091114444,3541.8900887113778,3449.1219317525583,-7435125.647882002,-19835.947452467488,92.31785416484378,91.12584376072398
13/03/2022,C,37849.664063,70000,0.0,0.04,6,0.8063,9.51398940111704e-07,1.4990249723298345e-06,0.5962843335079333,0.5888137483666062,0.3404589870023723,0.33169944347059294,4512.527362520759,4396.426212663108,-11043103.181044502,-29475.792926517955,96.37550687801644,95.14746548492155
14/03/2022,C,39666.753906,70000,0.0,0.04,5,0.8232,1.3493211615228605e-06,2.191643718405843e-06,0.6340195221449992,0.6253589009136897,0.38513043661291735,0.3743350370981182,4343.00514273635,4221.268527933848,-13023979.911391256,-34680.95003965954,85.48212632123276,84.29573985119035
15/03/2022,C,39338.785156,70000,0.0,0.04,4,0.8205,7.028822555407588e-09,1.3140489866714232e-08,0.8032506937381313,0.7919341154619638,0.6238885885001814,0.6059853717986398,5609.869445089303,5448.88764450174,-20968591.548362434,-55798.36660359636,86.93158287541164,85.69140991363983
16/03/2022,C,41143.929688,70000,0.0,0.04,3,0.8447,1.4554846201057446e-09,3.029637101497802e-09,0.9297219629487866,0.915137435711261,0.8383468937119586,0.8116401315319403,5820.424283165683,5635.006184424905,-29871594.83942154,-79231.20636567804,75.59358599579069,74.39485772969266
17/03/2022,C,40951.378906,70000,0.0,0.04,2,0.8032,7.122195232757641e-17,2.581529705780756e-16,1.540369216945244,1.5134953109892446,2.3293671284710253,2.247685672629915,10251.768096372209,9892.280176747114,-75075643.96325338,-198471.12344924756,83.85584750384899,82.38330471173943
18/03/2022,C,41801.15625,70000,0.0,0.04,1,0.7633,1.5810273354181677e-35,3.449190901314326e-34,3.2547378229672277,3.1837521995168365,10.498485675460758,10.04246833492025,21954.77840021697,21001.13994532774,-305704813.4272437,-801159.6016628013,88.89692665663637,86.95211505525579
19/03/2022,C,42190.652344,70000,0.0,0.04,0,0.7469,0.0,0.0,,,,,,,,,,
