,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
8,C,Short,42782.136719,70000,0.0,0.04,0,0.6173,-0.0,-0.0,,,,,,,,,,
9,C,Short,42782.136719,55000,0.0,0.04,1,0.6173,-3.2360892448024867e-12,-3.2505516938242892e-12,-2.450800673403938,-2.4506288778262837,-5.887569572148779,-5.886729446817114,-9957.251224349156,-9955.830376767728,112077622.02249473,307018.1425101355,-66.87125132613527,-66.86654459798139
10,C,Short,42782.136719,30000,0.0,0.04,2,0.6173,-9999.99999999995,-10000.0,-8.57942547720482e-15,-7.124656984214273e-15,1.4617432429464176e-14,1.3834413398885187e-14,4.944296459566158e-11,4.679442954044828e-11,-2.7884859817881795e-07,-7.23421322845752e-10,0.5479452054789818,0.5479452054790723
Options, , ,42782.136719,,0.0,0.04,,,-9999.999999999955,-10000.000000000004,-9.372526447240538e-15,-7.921246569189564e-15,1.2712162372418457e-14,1.1920901561441514e-14,4.6220709236170274e-11,4.35582354109853e-11,-2.4257927945781434e-07,-6.23623488528641e-10,0.5479452054789601,0.5479452054790503
