,Type,Position,Payoff,Spot,Strike,Interest Rate (%),Dividend Yield (%),Implied Volatility (%),Maturity T (minuts)
Opt 1,C,0,1000,34889.7,35500,0,0,0,2
Opt 2,C,0,5000,34889.7,35600,0,0,0,0
