,Type,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
12/03/2022,C,38904.011719,50000,0.0,0.04,10,0.8073,25.41899122053623,30.346932898064324,0.1744816921202852,0.16923883389713265,0.02375453158126908,0.02204134600885253,525.3981738509187,487.5062639163465,-767101.6833086588,-1949.2723127753582,45.06347729322883,43.62707778003632
13/03/2022,C,37849.664063,50000,0.0,0.04,9,0.8063,11.60489903066959,14.330069414054947,0.20648817598204797,0.20046978742312713,0.03495564368968623,0.03260443139651706,694.9660809943726,648.2207597674119,-1128008.0849251815,-2881.699589341293,48.4491392832447,46.96515306323686
14/03/2022,C,39666.753906,50000,0.0,0.04,8,0.8232,24.548836498651422,29.851412348306667,0.19238837281181023,0.18604734490751096,0.029139099660816365,0.026851896932008894,525.7491910308829,484.48178749435,-979622.0146541985,-2472.2700465315797,39.9755337669721,38.58571943178319
15/03/2022,C,39338.785156,50000,0.0,0.04,7,0.8205,14.849314618869954,18.63720902197133,0.22250659538924084,0.21504547063051493,0.04034835630976008,0.03721492625610451,634.9062588085125,585.5998053477704,-1349266.2622817184,-3408.4665179947733,40.75468952670372,39.323788888043964
16/03/2022,C,41143.929688,50000,0.0,0.04,6,0.8447,31.423711777609768,38.80247422127832,0.20775940093215545,0.19976358833938976,0.03360897818375278,0.03050661598729228,466.67677597505724,423.5989894432733,-1190720.3199888621,-2959.891986430787,32.50839467377899,31.19401452154353
17/03/2022,C,40951.378906,50000,0.0,0.04,5,0.8032,14.760156743686927,19.442249588022946,0.2691707762635833,0.25813090248373155,0.05962691466234087,0.05402308183779878,656.0594226957834,594.4019086591779,-1912589.4572782307,-4745.947812270106,35.502846063504556,33.99053458681254
18/03/2022,C,41801.15625,50000,0.0,0.04,4,0.7633,11.103371914324155,15.577238676320917,0.3290803427443758,0.3134496185144411,0.09088812751622317,0.08118031545473385,760.2729614589932,679.0677784832695,-2634530.139925251,-6444.804798328629,34.967708793904194,33.254752713911344
19/03/2022,C,42190.652344,50000,0.0,0.04,3,0.7469,5.437542854701746,8.44297917904413,0.4231527199981656,0.40052595664600393,0.15491460638776844,0.13679605967489672,951.0059137892404,839.7778929138116,-4304103.986339275,-10409.941881432578,33.95775780806841,32.09802383391814
20/03/2022,C,41247.824219,50000,0.0,0.04,2,0.7701,0.3273231612182665,0.653055364362384,0.6428583619153272,0.6079571555374328,0.3778857505051818,0.33501566964805835,1594.5743367892626,1413.674340799834,-11179618.648471262,-27150.139804546066,34.677170515908344,32.76477564588673
21/03/2022,C,41077.996094,50000,0.0,0.04,1,0.7623,0.0003735591113677385,0.001669868961224414,1.2874223310546205,1.2035387767788444,1.5838592970034837,1.3769530202565354,3307.8792934404264,2875.756951620704,-45967637.14011869,-109477.58155055424,34.99787208368823,32.69969251448888
22/03/2022,C,42358.808594,50000,0.0,0.04,0,0.7467,0.0,0.0,,,,,,,,,,
