,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
7,C,Short,47128.003906,60000,0.0,0.04,9,0.6536,-78.94661718465385,-79.29940654815937,-0.2673927071573175,-0.26724894024524365,-0.06021219983830343,-0.06013748063890335,-970.3897104899618,-969.1855235897989,1275415.6855655252,3489.9327683396878,-63.46669491550292,-63.431245539921456
8,C,Short,47128.003906,70000,0.0,0.04,12,0.6536,-16.318765637351753,-16.68444137570191,-0.3092879273446802,-0.3088057223365286,-0.08586707121554031,-0.08557499499950304,-1845.130446459523,-1838.8542487126108,1821718.8988610865,4973.971347664886,-98.39603090784006,-98.2374977544745
9,C,Short,47128.003906,55000,0.0,0.04,13,0.6536,-92.5049967687288,-92.5294289932026,-0.14524417284876356,-0.1452341933213885,-0.01415517498668611,-0.01415246674208032,-329.51696116951933,-329.4539162030716,296539.7881800695,812.2803841364405,-48.169157452984294,-48.165603100770696
10,C,Short,47128.003906,30000,0.0,0.04,14,0.6536,-9997.223154822377,-9997.249803602244,-8.043102180396586e-05,-7.97114882550294e-05,2.2497859067239398e-05,2.231276469913855e-05,0.5640120811201849,0.5593718413780756,-483.76359130200063,-1.3144692038649064,3.804766183417658,3.8050421688887988
Options, , ,47128.003906,,0.0,0.04,,,-10184.993534413112,-10185.763080519308,-0.003966310372983568,-0.00398401824691051,-0.0007107812465423439,-0.0007150265365168918,-12.917302958202388,-13.001293514729921,15023.384816226342,41.406450413108345,2.647525116869029,2.642327649949183
