,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
3,C,Short,40951.378906,45000,0.0,0.04,0,0.8032,-0.0,-0.0,,,,,,,,,,
4,C,Short,40951.378906,44000,0.0,0.04,2,0.8032,-107.28269825146958,-107.35331794694503,-0.2895375491426048,-0.2894843741082712,-0.057544371480253965,-0.057515188160722104,-253.25829683802735,-253.1298582503361,1844599.2072195665,5051.123238696804,-15.317125980416703,-15.314212279909636
5,C,Short,40951.378906,50000,0.0,0.04,2,0.8032,-1.739833827092361,-1.7505529618233595,-0.6137200487936264,-0.6134534583359235,-0.34391144082716746,-0.3435881706281465,-1513.5872288897585,-1512.1644857453593,11068834.716027074,30297.03509751095,-33.08055061882885,-33.06594292251611
6,C,Short,40951.378906,47000,0.0,0.04,10,0.8032,-133.29756878243964,-133.33201909927084,-0.12145382500179173,-0.12144403262123966,-0.008934471283186465,-0.008932288901261222,-196.60732423713338,-196.55929987657396,283336.72715968796,776.0732132216126,-30.535294521038836,-30.532611677049648
7,C,Short,40951.378906,60000,0.0,0.04,20,0.8032,-162.9081653261693,-163.26900598795646,-0.1327171200014344,-0.1326749586691655,-0.013759036629494134,-0.013748405666151205,-605.5483956608048,-605.080516769999,438509.84534765984,1200.4619561761947,-67.24225753503254,-67.21915543516234
8,C,Short,40951.378906,70000,0.0,0.04,23,0.8032,-139.1639219142798,-140.68929430167998,-0.15237800147696007,-0.15221539253437597,-0.019427848239234952,-0.01938027031149646,-983.2939650200847,-980.8859222642811,620579.4998039828,1696.0309757935515,-89.71764476630364,-89.61517885727777
9,C,Short,40951.378906,55000,0.0,0.04,24,0.8032,-60.833644393547104,-60.84427563769168,-0.09610769199239028,-0.09610402978375299,-0.006261526885366611,-0.006260876344252479,-330.6909629146166,-330.65660578869506,198130.70943645513,542.7667718833889,-56.618756378558,-56.61634835094509
10,C,Short,40951.378906,30000,0.0,0.04,25,0.8032,-9134.407420718175,-9136.90572789892,-0.008215158141026944,-0.008195178407728194,0.0006145367682625928,0.000613660090618079,33.80794056633661,33.75971128660601,-20151.41896554462,-55.12970195411586,1.2224944239541473,1.236179172786561
Options, , ,40951.378906,,0.0,0.04,,,-9739.633253213173,-9744.144193834287,-0.017663195420979914,-0.017666621395065828,-0.0007880589087491258,-0.0007914645659701841,-0.28752191454922976,-0.45970249996647483,24713.5038299339,68.00882579174223,-2.2062877010118362,-2.2070197878140214
