,Type,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
12/03/2022,C,38904.011719,44000,0.0,0.04,7,0.8073,122.25739923489203,122.29860862771602,0.14828549357221224,0.14827059934464354,0.013952994209275956,0.013948896430467815,216.02675500284752,215.9633112828134,-448750.1213252298,-1229.0881757563002,26.52050561658865,26.517649189386592
13/03/2022,C,37849.664063,44000,0.0,0.04,6,0.8063,64.94542849351564,64.9732922934163,0.18873022095977132,0.18871210663039112,0.025762636350148565,0.025756149903454824,341.46433461575003,341.37836165189424,-829890.6490386752,-2273.097329522945,29.38031029475694,29.377332596774767
14/03/2022,C,39666.753906,44000,0.0,0.04,5,0.8232,129.25533907816123,129.3050511653746,0.1691930246217482,0.1691730579137164,0.01815007413851286,0.01814378997729424,204.6731648058053,204.60230012747803,-608209.6438438372,-1665.7466214541053,21.807263646814818,21.80452848133176
15/03/2022,C,39338.785156,44000,0.0,0.04,4,0.8205,88.229694906236,88.2720431427515,0.21113639516549312,0.21111059247581138,0.031115796588553887,0.031105489806983654,279.7864230236544,279.69374670276403,-1038943.7621081499,-2845.4735822261505,22.04234467567047,22.039516983655055
16/03/2022,C,41143.929688,44000,0.0,0.04,3,0.8447,179.05792039142932,179.13555361064937,0.19073096877992304,0.19070030432453847,0.020980367752937323,0.020969603529929146,145.66123266498215,145.58649946628668,-740864.3575774748,-2028.716604831259,14.854600173692306,14.852079807491151
17/03/2022,C,40951.378906,44000,0.0,0.04,2,0.8032,107.28269825146958,107.35331794694503,0.2895375491426048,0.2894843741082712,0.057544371480253965,0.057515188160722104,253.25829683802735,253.1298582503361,-1844599.2072195665,-5051.123238696804,15.317125980416703,15.314212279909636
18/03/2022,C,41801.15625,44000,0.0,0.04,1,0.7633,95.79844836016626,95.89523824934076,0.4443268431949832,0.4442081764227418,0.14078579683016335,0.14068493396862275,294.41588690537986,294.2049591733049,-4083506.4744386952,-11179.651918746862,11.899365566985841,11.89611442253993
19/03/2022,C,42190.652344,44000,0.0,0.04,0,0.7469,0.0,0.0,,,,,,,,,,
