,Typ,Position,Spot,Strike,Rate,Dividend,Maturity,Volatility,Price_digital,Price_spread,Delta_digital,Delta_spread,Gamma_digital,Gamma_spread,Vega_digital,Vega_spread,Theta_digital,Theta_spread,Rho_digital,Rho_spread
2,C,Short,41143.929688,50000,0.0,0.04,0,0.8447,-0.0,-0.0,,,,,,,,,,
3,C,Short,41143.929688,45000,0.0,0.04,1,0.8447,-201.4342092286316,-203.89980742146463,-0.5469541239018336,-0.5459398697205028,-0.2482285779006929,-0.24714543879884307,-574.462136308809,-571.955485351732,8833900.874399854,24096.71089701177,-14.711071887721474,-14.683284101931562
4,C,Short,41143.929688,44000,0.0,0.04,3,0.8447,-179.05792039142932,-179.13555361064937,-0.19073096877992304,-0.19070030432453847,-0.020980367752937323,-0.020969603529929146,-145.66123266498215,-145.58649946628668,740864.3575774748,2028.716604831259,-14.854600173692306,-14.852079807491151
5,C,Short,41143.929688,50000,0.0,0.04,3,0.8447,-24.117288257158677,-24.20893362904053,-0.3791178024596508,-0.378961628516202,-0.12434187917007546,-0.12422596139769972,-863.2733041229816,-862.4685171997413,4420844.294523766,12100.589233162611,-30.33844951723157,-30.32561330270132
6,C,Short,41143.929688,47000,0.0,0.04,11,0.8447,-161.32926881988573,-161.3647670901628,-0.10340562823542829,-0.10339771582740644,-0.005940108376224218,-0.00593863070974228,-151.21563013523993,-151.17801360465393,207782.51402040815,569.1235984341155,-28.149641386019486,-28.1472568247036
7,C,Short,41143.929688,60000,0.0,0.04,21,0.8447,-241.51948802230177,-241.98708522226298,-0.1160251982679279,-0.11598927445676181,-0.010147712970457514,-0.010139858884741679,-493.17050977823214,-492.7888076678588,357387.83089673653,978.3810033897374,-61.00079900346535,-60.98013050937026
8,C,Short,41143.929688,70000,0.0,0.04,24,0.8447,-251.41100797166249,-253.82194332473773,-0.13343247762640004,-0.13329281062647025,-0.01452149109499849,-0.014485930580877432,-806.5514648511928,-804.5763656986733,512730.03039771057,1401.2793522519253,-81.16108117900274,-81.06924534343244
9,C,Short,41143.929688,55000,0.0,0.04,25,0.8447,-75.51515015709023,-75.52685440623463,-0.08523789639555708,-0.08523475248794336,-0.004684071031830675,-0.004683581144499884,-271.0023836018747,-270.9740405997917,163698.95494698535,448.4427493961584,-51.53280575038156,-51.53065238898467
10,C,Short,41143.929688,30000,0.0,0.04,26,0.8447,-8989.810746788417,-8992.422134066146,-0.008723522602312444,-0.00870454336794631,0.0005808868416745221,0.0005801936817090812,34.95219998417588,34.91049226419576,-21072.604392979374,-57.66333182157161,0.9092715709555184,0.9227910255727313
Options, , ,41143.929688,,0.0,0.04,,,-10124.195079636576,-10132.367078770698,-0.0312697569783827,-0.03137965980893558,-0.005822578372505613,-0.005860617154944996,-21.25114821189329,-21.513154360074832,206474.95968214035,569.3907713384068,-4.123902000075667,-4.131113627019389
