;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649346087182;open;0.35152578;180.7;0.0001;0.8505;0.35085707;0.3395;BTC-24JUN22-30000-C;43263.9;;43263.9;;0.3135;12.0;0.337;9.0;;0.1;0.0;0.3395;0.3395;43703.62;BTC-24JUN22;93.57;0.0;0.0;79.05;44.53159;-26.82109;47.50194;1e-05;0.86157;77.0;30000.0;1.6560648e+18;0.6932729415570911
BTC-22APR22-35000-P;1649346087182;open;0.00294441;516.4;0.0001;0.5025;0.00276378;0.001;BTC-22APR22-35000-P;43263.9;;43263.9;;0.0;0.0;0.0;0.0;;42.0;-50.0;0.001;0.002;43300.02999968;SYN.BTC-22APR22;66.27;0.0;0.0;0.0;8.62238;-19.46094;-0.87848;2e-05;-0.04768;14.0;35000.0;1.6506216e+18;0.8088184318166062
BTC-24JUN22-55000-C;1649346087182;open;0.04140637;424.8;0.0001;0.5695;0.06986498;0.025;BTC-24JUN22-55000-C;43263.9;;43263.9;;0.0685;7.2;0.0;0.0;;34.5;-57.265;0.025;0.0685;43703.62;BTC-24JUN22;81.92;0.0;81.11;0.0;73.66146;-38.84026;24.88947;2e-05;0.33746;77.0;55000.0;1.6560648e+18;1.271000392854667
BTC-30SEP22-50000-C;1649346087182;open;0.17056182;664.3;0.0001;0.667;0.16749814;0.163;BTC-30SEP22-50000-C;43263.9;;43263.9;;0.163;98.9;0.172;0.6;;1.0;0.0;0.163;0.163;44531.89;BTC-30SEP22;77.09;0.0;75.46;78.72;123.09316;-27.00748;75.61582;2e-05;0.52028;175.0;50000.0;1.664532e+18;1.1554549025951517
BTC-24JUN22-25000-C;1649346087182;open;0.44399011;132.5;0.0001;0.946;0.44621589;0.4465;BTC-24JUN22-25000-C;43263.9;;43263.9;;0.446;13.0;0.4465;6.9;;14.1;0.2245;0.4455;0.4465;43703.62;BTC-24JUN22;99.14;0.0;98.81;99.58;28.11468;-17.94127;44.66783;1e-05;0.92646;77.0;25000.0;1.6560648e+18;0.5777274512975759
BTC-29APR22-40000-P;1649346088188;open;0.03144917;303.9;0.0001;0.5295;0.02952037;0.0285;BTC-29APR22-40000-P;43266.48;;43266.48;;0.0285;0.5;0.0295;10.0;;250.4;32.5581;0.013;0.0305;43334.07;BTC-29APR22;64.65;0.0;63.4;64.63;35.4672;-52.88293;-7.93168;5e-05;-0.27864;21.0;40000.0;1.6512264e+18;0.9243639220761214
BTC-30SEP22-300000-C;1649346088188;open;0.00101957;470.6;0.0001;0.5185;0.0187643;0.0015;BTC-30SEP22-300000-C;43266.48;;43266.48;;0.0015;0.9;0.0;0.0;;12.1;-75.0;0.0005;0.0225;44533.23;BTC-30SEP22;136.94;0.0;99.73;0.0;38.07768;-14.84104;9.41083;0.0;0.06267;175.0;300000.0;1.664532e+18;6.93272941557091
BTC-30SEP22-60000-P;1649346088189;open;0.45367969;288.1;0.0001;0.959;0.45900718;0.434;BTC-30SEP22-60000-P;43266.48;;43266.48;;0.095;0.1;0.4385;12.0;;0.1;0.0;0.434;0.434;44533.23;BTC-30SEP22;77.69;0.0;0.0;69.89;118.39885;-26.18022;-229.47889;2e-05;-0.61163;175.0;60000.0;1.664532e+18;1.3865458831141821
BTC-30SEP22-80000-C;1649346088192;open;0.06290478;279.1;0.0001;0.558;0.0583636;0.0525;BTC-30SEP22-80000-C;43266.48;;43266.48;;0.053;5.6;0.064;25.0;;;;;;44535.81;BTC-30SEP22;81.95;0.0;79.34;84.59;93.32201;-21.76531;36.32317;1e-05;0.22783;175.0;80000.0;1.664532e+18;1.8487278441522428
BTC-30SEP22-50000-P;1649346088192;open;0.2880131;332.0;0.0001;0.79;0.29028791;0.2585;BTC-30SEP22-50000-P;43266.48;;43266.48;;0.248;30.5;0.0;0.0;;7.0;0.0;0.2585;0.2585;44535.81;BTC-30SEP22;77.09;0.0;61.83;0.0;123.10296;-27.00963;-165.02747;2e-05;-0.47965;175.0;50000.0;1.664532e+18;1.1554549025951517
BTC-30DEC22-50000-P;1649346088188;open;0.30071881;179.4;0.0001;0.798;0.29822919;0.291;BTC-30DEC22-50000-P;43266.48;;43266.48;;0.291;7.9;0.3095;1.2;;0.1;0.0;0.291;0.291;45144.62;BTC-30DEC22;67.97;0.0;65.84;71.3;152.93628;-19.48897;-248.23304;2e-05;-0.45436;266.0;50000.0;1.6723944e+18;1.1554549025951517
BTC-30DEC22-25000-C;1649346088189;open;0.49482426;126.3;0.0001;0.992;0.4923225;0.5035;BTC-30DEC22-25000-C;43266.48;;43266.48;;0.471;12.0;0.0;0.0;;;;;;45144.62;BTC-30DEC22;75.96;0.0;61.32;0.0;71.81621;-10.22747;131.68537;1e-05;0.89157;266.0;25000.0;1.6723944e+18;0.5777274512975759
BTC-29APR22-45000-P;1649346088189;open;0.07924105;157.1;0.0001;0.577;0.07705199;0.0765;BTC-29APR22-45000-P;43266.48;;43266.48;;0.0465;3.3;0.08;0.8;;87.0;-11.5607;0.0765;0.0865;43334.07;BTC-29APR22;56.29;0.0;22.38;59.38;41.24497;-53.54268;-16.95711;7e-05;-0.58176;21.0;45000.0;1.6512264e+18;1.0399094123356365
BTC-30SEP22-250000-C;1649346088188;open;0.00152481;194.7;0.0001;0.521;0.02117039;0.0015;BTC-30SEP22-250000-C;43266.48;;43266.48;;0.001;65.9;0.0;0.0;;;;;;44533.23;BTC-30SEP22;130.06;0.0;88.26;0.0;42.40774;-15.69816;10.90297;0.0;0.07204;175.0;250000.0;1.664532e+18;5.777274512975758
BTC-9APR22-42000-C;1649346088188;open;;2.0;0.0001;0.533;0.0333595;0.0355;BTC-9APR22-42000-C;43266.48;;43266.48;;0.0355;2.9;0.0415;2.8;;2.0;7000.0;0.0005;0.0355;43273.93285716;SYN.BTC-9APR22;52.42;0.0;63.18;89.87;8.10528;-126.46521;1.53593;0.00018;0.80456;1.0;42000.0;1.6494984e+18;0.9705821181799275
BTC-27MAY22-55000-C;1649346088189;open;0.02290166;18.9;0.0001;0.5425;0.04284677;0.0335;BTC-27MAY22-55000-C;43266.48;;43266.48;;0.0335;4.1;0.0;0.0;;2.0;0.0;0.0335;0.0335;43432.46;BTC-27MAY22;82.65;0.0;74.7;0.0;52.68552;-43.8276;13.25114;2e-05;0.26701;49.0;55000.0;1.6536456e+18;1.271000392854667
BTC-30DEC22-100000-C;1649346088188;open;0.00416854;458.9;0.0001;0.5035;0.00398858;0.062;BTC-30DEC22-100000-C;43266.48;;43266.48;;0.062;49.8;0.0;0.0;;;;;;45144.62;BTC-30DEC22;45.0;0.0;81.13;0.0;26.52896;-2.23827;8.70371;0.0;0.03038;266.0;100000.0;1.6723944e+18;2.3109098051903034
BTC-24JUN22-150000-P;1649346089196;open;2.41874545;61.7;1.958;2.9575;2.45762589;2.803;BTC-24JUN22-150000-P;43266.41;;43266.41;;0.0005;0.1;0.0;0.0;;;;;;43707.55;BTC-24JUN22;160.0;0.0;0.0;0.0;34.48411;-35.51408;-312.62692;1e-05;-0.90347;77.0;150000.0;1.6560648e+18;3.466364707785455
BTC-29APR22-60000-P;1649346089196;open;0.38158749;27.5;0.0001;0.8905;0.39095334;0.324;BTC-29APR22-60000-P;43266.41;;43266.41;;0.2895;0.3;0.0;0.0;;0.3;0.0;0.324;0.324;43336.71;BTC-29APR22;86.18;0.0;0.0;0.0;14.85363;-29.52144;-33.88988;2e-05;-0.92564;21.0;60000.0;1.6512264e+18;1.3865458831141821
BTC-24JUN22-70000-C;1649346089196;open;0.02859796;1522.9;0.0001;0.724;0.22440293;0.0225;BTC-24JUN22-70000-C;43266.41;;43266.41;;0.0225;127.5;0.0;0.0;;2.8;0.0;0.0225;0.0225;43707.55;BTC-24JUN22;205.0;0.0;80.39;0.0;80.41499;-106.10905;24.70118;1e-05;0.48997;77.0;70000.0;1.6560648e+18;1.6176368636332124
BTC-15APR22-50000-P;1649346089196;open;0.15334434;47.9;0.0001;0.659;0.15944095;0.0775;BTC-15APR22-50000-P;43266.41;;43266.41;;0.023;8.0;0.7565;4.0;;;;;;43272.46;BTC-15APR22;70.46;0.0;0.0;500.0;9.8933;-45.38225;-9.76862;4e-05;-0.91353;7.0;50000.0;1.6500168e+18;1.1554549025951517
BTC-22APR22-50000-C;1649346089196;open;0.01260739;171.0;0.0001;0.5085;0.00877727;0.008;BTC-22APR22-50000-C;43266.41;;43266.41;;0.008;9.0;0.0275;1.0;;223.0;-55.5556;0.008;0.018;43304.45499968;SYN.BTC-22APR22;63.33;0.0;61.58;96.44;19.57856;-42.23362;2.33188;4e-05;0.14267;14.0;50000.0;1.6506216e+18;1.1554549025951517
BTC-22APR22-40000-P;1649346089196;open;0.01690863;68.4;0.0001;0.5175;0.01768941;0.016;BTC-22APR22-40000-P;43266.41;;43266.41;;0.0135;1.4;0.0;0.0;;12.7;18.5185;0.0135;0.017;43304.45499968;SYN.BTC-22APR22;60.04;0.0;53.06;0.0;26.74669;-54.69754;-4.41738;6e-05;-0.23594;14.0;40000.0;1.6506216e+18;0.9243639220761214
BTC-30DEC22-60000-P;1649346089196;open;0.4848634;133.7;0.0001;0.9905;0.49095917;0.616;BTC-30DEC22-60000-P;43266.41;;43266.41;;0.454;12.0;0.0;0.0;;;;;;45147.35;BTC-30DEC22;76.9;0.0;65.93;0.0;153.1234;-22.07773;-340.52067;1e-05;-0.54142;266.0;60000.0;1.6723944e+18;1.3865458831141821
BTC-27MAY22-25000-P;1649346089196;open;0.00434219;0.8;0.0001;0.5055;0.00582182;0.0175;BTC-27MAY22-25000-P;43266.41;;43266.41;;0.0;0.0;0.0;0.0;;;;;;43435.46;BTC-27MAY22;92.91;0.0;0.0;0.0;13.04525;-12.19895;-2.54929;1e-05;-0.0373;49.0;25000.0;1.6536456e+18;0.5777274512975759
BTC-24JUN22-40000-C;1649346089196;open;0.16677582;1009.1;0.0001;0.6635;0.16353779;0.1665;BTC-24JUN22-40000-C;43266.41;;43266.41;;0.167;4.0;0.0;0.0;;469.8;16550.0;0.001;0.167;43707.55;BTC-24JUN22;66.27;0.0;68.33;0.0;72.92858;-31.10878;47.20504;3e-05;0.67105;77.0;40000.0;1.6560648e+18;0.9243639220761214
BTC-22APR22-46000-P;1649346089198;open;0.0870747;115.4;0.0001;0.585;0.08525005;0.084;BTC-22APR22-46000-P;43266.41;;43266.41;;0.0805;6.4;0.0;0.0;;3.6;0.0;0.084;0.084;43304.45499968;SYN.BTC-22APR22;58.02;0.0;51.3;0.0;31.15615;-61.56659;-13.28512;7e-05;-0.67754;14.0;46000.0;1.6506216e+18;1.0630185103875396
BTC-9APR22-44000-C;1649346089196;open;;55.2;0.0001;0.508;0.00812026;0.028;BTC-9APR22-44000-C;43266.41;;43266.41;;0.0075;12.0;0.0085;12.0;;55.2;5500.0;0.0005;0.3;43276.58857145;SYN.BTC-9APR22;55.05;0.0;52.53;56.58;10.70009;-175.31858;0.65172;0.00023;0.33533;1.0;44000.0;1.6494984e+18;1.0168003142837334
BTC-22APR22-42000-P;1649346090203;open;0.03229549;18.2;0.0001;0.5325;0.03263022;0.033;BTC-22APR22-42000-P;43266.82;;43266.82;;0.0;0.0;0.0;0.0;;42.2;3.125;0.032;0.033;43304.51499968;SYN.BTC-22APR22;58.59;0.0;0.0;0.0;32.92677;-65.70314;-7.09658;7e-05;-0.37483;14.0;42000.0;1.6506216e+18;0.9705821181799275
BTC-30DEC22-50000-C;1649346090205;open;0.19988653;390.2;0.0001;0.6905;0.19069341;0.2165;BTC-30DEC22-50000-C;43266.82;;43266.82;;0.2165;19.5;0.0;0.0;;0.2;0.0;0.2165;0.2165;45147.84;BTC-30DEC22;67.97;0.0;75.61;0.0;152.94503;-19.49009;117.09789;2e-05;0.54569;266.0;50000.0;1.6723944e+18;1.1554549025951517
BTC-24JUN22-55000-P;1649346090203;open;0.29468312;124.7;0.0001;0.828;0.32825281;0.298;BTC-24JUN22-55000-P;43266.82;;43266.82;;0.296;12.0;0.0;0.0;;14.0;-3.2468;0.298;0.308;43707.52;BTC-24JUN22;81.92;0.0;61.68;0.0;73.67533;-38.84757;-92.15435;2e-05;-0.66245;77.0;55000.0;1.6560648e+18;1.271000392854667
