;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649776974891;open;0.26315738;415.3;0.0001;0.775;0.275;0.2865;BTC-24JUN22-30000-C;40247.74;;40247.74;;0.0;0.0;0.289;8.0;;30.5;7.9096;0.2655;0.288;40491.54;BTC-24JUN22;61.01;0.0;0.0;75.98;33.52017;-14.06736;49.75703;2e-05;0.89206;72.0;30000.0;1.6560648e+18;0.7456472839797681
BTC-22APR22-35000-P;1649776974888;open;0.0059074;770.5;0.0001;0.5045;0.0048;0.0045;BTC-22APR22-35000-P;40247.74;;40247.74;;0.0045;223.2;0.0055;12.0;;153.4;-25.0;0.0045;0.006;40244.03;BTC-22APR22;66.96;0.0;65.69;69.39;10.74579;-37.12008;-1.02518;4e-05;-0.0911;9.0;35000.0;1.6506216e+18;0.8699218313097294
BTC-24JUN22-55000-C;1649776975896;open;0.0225108;310.0;0.0001;0.5175;0.0178;0.022;BTC-24JUN22-55000-C;40246.49;;40246.49;;0.017;2.0;0.0185;180.0;;342.5;-4.3478;0.0005;0.0235;40491.28;BTC-24JUN22;58.35;0.0;57.59;59.05;41.7182;-16.74301;10.48538;2e-05;0.1478;72.0;55000.0;1.6560648e+18;1.3670200206295748
BTC-30SEP22-300000-C;1649776975898;open;0.00178482;470.6;0.0001;0.501;0.001;0.002;BTC-30SEP22-300000-C;40246.49;;40246.49;;0.001;1.4;0.0;0.0;;52.5;33.3333;0.001;0.002;41008.25;BTC-30SEP22;101.1;0.0;100.76;0.0;4.52753;-1.34081;0.88662;0.0;0.00566;170.0;300000.0;1.664532e+18;7.456472839797681
BTC-30SEP22-60000-P;1649776975900;open;0.52210448;288.1;0.0215;1.021;0.5214;0.5075;BTC-30SEP22-60000-P;40246.49;;40246.49;;0.5105;0.2;0.5295;8.0;;11.5;0.3956;0.5055;0.5075;41008.25;BTC-30SEP22;65.28;0.0;60.29;68.86;91.77733;-17.54893;-241.02088;2e-05;-0.73544;170.0;60000.0;1.664532e+18;1.4912945679595362
BTC-30SEP22-50000-C;1649776975896;open;0.10491678;1022.8;0.0001;0.5955;0.0957;0.098;BTC-30SEP22-50000-C;40246.49;;40246.49;;0.0935;2.0;0.0955;35.8;;15.8;-2.0;0.098;0.1065;41008.25;BTC-30SEP22;61.78;0.0;60.94;61.7;108.21341;-19.5818;58.00985;2e-05;0.39818;170.0;50000.0;1.664532e+18;1.2427454732996135
BTC-24JUN22-25000-C;1649776975896;open;0.38201443;129.5;0.0001;0.891;0.3913;0.3945;BTC-24JUN22-25000-C;40246.49;;40246.49;;0.3825;0.7;0.3915;23.3;;53.8;78800.0;0.0005;0.3945;40491.28;BTC-24JUN22;75.01;0.0;0.0;75.39;19.79282;-10.21234;44.73598;1e-05;0.94607;72.0;25000.0;1.6560648e+18;0.6213727366498067
BTC-14APR22-38000-C;1649776975896;open;;100.0;0.0001;0.558;0.0582;0.019;BTC-14APR22-38000-C;40246.49;;40246.49;;0.0;0.0;0.0;0.0;;100.0;0.0;0.019;0.019;40255.2893;SYN.BTC-14APR22;67.15;0.0;0.0;0.0;4.79624;-95.14712;1.57192;0.0001;0.90041;1.0;38000.0;1.6499304e+18;0.9444865597077062
BTC-29APR22-40000-P;1649776975898;open;0.04292862;326.6;0.0001;0.5385;0.0385;0.0375;BTC-29APR22-40000-P;40246.49;;40246.49;;0.0365;133.9;0.0425;133.9;;17.8;17.1875;0.032;0.048;40272.29;BTC-29APR22;49.24;0.0;46.82;53.9;34.12341;-50.33038;-9.06057;9e-05;-0.4534;16.0;40000.0;1.6512264e+18;0.9941963786396908
BTC-30SEP22-80000-C;1649776975898;open;0.05837104;273.5;0.0001;0.5275;0.028;0.0225;BTC-30SEP22-80000-C;40246.49;;40246.49;;0.026;45.0;0.029;45.0;;36.3;-57.1429;0.0225;0.0525;41008.25;BTC-30SEP22;72.6;0.0;71.24;73.27;61.24076;-13.02327;20.74054;1e-05;0.13614;170.0;80000.0;1.664532e+18;1.9883927572793816
BTC-30SEP22-50000-P;1649776975896;open;0.32396247;342.1;0.0001;0.8145;0.315;0.396;BTC-30SEP22-50000-P;40246.49;;40246.49;;0.318;12.0;0.0;0.0;;0.5;24.7244;0.3175;0.396;41008.25;BTC-30SEP22;61.78;0.0;62.93;0.0;108.21341;-19.5818;-175.8153;2e-05;-0.60182;170.0;50000.0;1.664532e+18;1.2427454732996135
BTC-30DEC22-50000-P;1649776975896;open;0.35558499;276.1;0.0001;0.8515;0.352;0.3615;BTC-30DEC22-50000-P;40246.49;;40246.49;;0.3535;12.0;0.0;0.0;;21.0;2.845;0.3515;0.3615;41503.1;BTC-30DEC22;64.22;0.0;64.69;0.0;139.84836;-17.16057;-261.88101;2e-05;-0.52814;261.0;50000.0;1.6723944e+18;1.2427454732996135
BTC-30DEC22-25000-C;1649776976185;open;0.45127812;126.3;0.0001;0.9485;0.4485;0.5115;BTC-30DEC22-25000-C;40246.49;;40246.49;;0.437;9.0;0.0;0.0;;;;;;41503.1;BTC-30DEC22;71.18;0.0;64.42;0.0;73.00397;-9.92813;126.41932;1e-05;0.87336;261.0;25000.0;1.6723944e+18;0.6213727366498067
BTC-29APR22-45000-P;1649776975899;open;0.13001545;186.3;0.0001;0.624;0.1242;0.125;BTC-29APR22-45000-P;40246.49;;40246.49;;0.1185;44.7;0.128;44.7;;54.9;-7.7491;0.12;0.1355;40272.29;BTC-29APR22;46.21;0.0;29.77;53.42;19.30613;-26.72572;-18.09994;6e-05;-0.85852;16.0;45000.0;1.6512264e+18;1.1184709259696521
BTC-30SEP22-250000-C;1649776976903;open;0.00129258;194.7;0.0001;0.5005;0.0009;0.001;BTC-30SEP22-250000-C;40247.25;;40247.25;;0.0005;13.7;0.001;12.0;;188.4;0.0;0.001;0.001;41007.13;BTC-30SEP22;92.21;0.0;87.44;93.07;4.31681;-1.16602;0.85498;0.0;0.00536;170.0;250000.0;1.664532e+18;6.213727366498068
BTC-27MAY22-55000-C;1649776976906;open;0.01152814;993.8;0.0001;0.5135;0.0137;0.0125;BTC-27MAY22-55000-C;40247.25;;40247.25;;0.012;178.6;0.014;180.0;;974.8;-21.875;0.0125;0.016;40303.23;BTC-27MAY22;69.75;0.0;67.39;70.23;28.98656;-22.62073;5.48121;2e-05;0.12472;44.0;55000.0;1.6536456e+18;1.3670200206295748
BTC-29APR22-60000-P;1649776976903;open;0.49289512;31.5;0.0001;0.99;0.4903;0.4525;BTC-29APR22-60000-P;40247.25;;40247.25;;0.0005;0.1;0.0;0.0;;;;;;40272.33;BTC-29APR22;75.57;0.0;0.0;0.0;1.99333;-4.512;-27.29078;0.0;-0.99149;16.0;60000.0;1.6512264e+18;1.4912945679595362
BTC-30DEC22-100000-C;1649776976903;open;0.03779362;405.9;0.0001;0.541;0.0411;0.0285;BTC-30DEC22-100000-C;40247.25;;40247.25;;0.0395;45.0;0.0425;45.0;;10.6;-43.0;0.0285;0.05;41501.41;BTC-30DEC22;77.54;0.0;76.76;78.24;84.07067;-12.45441;34.18256;1e-05;0.15594;261.0;100000.0;1.6723944e+18;2.485490946599227
BTC-14APR22-40000-P;1649776976903;open;;101.5;0.0001;0.512;0.0121;0.0126;BTC-14APR22-40000-P;40247.25;;40247.25;;0.012;0.5;0.0125;12.0;;1252.5;-11.8881;0.0126;0.015;40253.9639;SYN.BTC-14APR22;55.43;0.0;55.19;57.06;10.74636;-175.98674;-0.81762;0.00026;-0.426;1.0;40000.0;1.6499304e+18;0.9941963786396908
BTC-24JUN22-150000-P;1649776976903;open;2.73138682;61.7;2.241;3.2405;2.7409;2.842;BTC-24JUN22-150000-P;40247.25;;40247.25;;0.0005;0.1;0.0;0.0;;0.1;0.0;2.842;2.842;40489.87;BTC-24JUN22;185.58;0.0;0.0;0.0;36.47669;-46.56053;-291.86465;1e-05;-0.87844;72.0;150000.0;1.6560648e+18;3.7282364198988405
BTC-24JUN22-70000-C;1649776976903;open;0.12470118;1549.2;0.0001;0.5065;0.0067;0.0065;BTC-24JUN22-70000-C;40247.25;;40247.25;;0.006;1.0;0.0075;180.0;;61.6;8.3333;0.006;0.625;40489.87;BTC-24JUN22;70.39;0.0;68.88;71.85;20.50279;-9.92625;4.00458;1e-05;0.0564;72.0;70000.0;1.6560648e+18;1.7398436626194589
BTC-15APR22-50000-P;1649776976906;open;0.24402237;51.9;0.0001;0.742;0.2421;0.1315;BTC-15APR22-50000-P;40247.25;;40247.25;;0.0;0.0;0.0;0.0;;3.5;-81.7488;0.1315;0.7205;40259.12;BTC-15APR22;97.44;0.0;0.0;0.0;0.53762;-9.72834;-3.67247;0.0;-0.99457;2.0;50000.0;1.6500168e+18;1.2427454732996135
BTC-22APR22-50000-C;1649776976905;open;0.00094896;97.5;0.0001;0.5005;0.0008;0.0005;BTC-22APR22-50000-C;40247.25;;40247.25;;0.0005;12.0;0.001;12.0;;82.1;-66.6667;0.0005;0.0015;40244.5;BTC-22APR22;63.52;0.0;59.96;66.33;3.23252;-10.59298;0.21025;1e-05;0.02043;9.0;50000.0;1.6506216e+18;1.2427454732996135
BTC-22APR22-40000-P;1649776976906;open;0.03551002;393.1;0.0001;0.533;0.0335;0.029;BTC-22APR22-40000-P;40247.25;;40247.25;;0.028;134.1;0.034;12.0;;48.3;-22.6667;0.029;0.0375;40244.5;BTC-22APR22;56.22;0.0;47.75;57.04;25.99832;-75.40089;-5.22313;0.00011;-0.45528;9.0;40000.0;1.6506216e+18;0.9941963786396908
BTC-30DEC22-60000-P;1649776976903;open;0.54979093;132.0;0.0475;1.047;0.5471;0.5515;BTC-30DEC22-60000-P;40247.25;;40247.25;;0.538;8.0;0.0;0.0;;3.5;-32.3728;0.536;0.847;41501.41;BTC-30DEC22;66.27;0.0;63.34;0.0;130.60697;-16.53729;-355.21801;2e-05;-0.64667;261.0;60000.0;1.6723944e+18;1.4912945679595362
BTC-27MAY22-25000-P;1649776976903;open;0.00477541;137.0;0.0001;0.5035;0.0036;0.0045;BTC-27MAY22-25000-P;40247.25;;40247.25;;0.0025;180.0;0.0045;180.0;;211.0;-10.0;0.004;0.005;40303.23;BTC-27MAY22;78.46;0.0;73.57;82.1;9.67068;-8.48891;-1.67033;1e-05;-0.03028;44.0;25000.0;1.6536456e+18;0.6213727366498067
BTC-24JUN22-40000-C;1649776977910;open;0.10142179;1018.6;0.0001;0.601;0.1011;0.1235;BTC-24JUN22-40000-C;40247.06;;40247.06;;0.099;1.0;0.103;107.2;;29.9;6.0086;0.1025;0.1235;40490.43;BTC-24JUN22;53.77;0.0;52.57;54.85;71.04408;-26.27759;37.63364;4e-05;0.5678;72.0;40000.0;1.6560648e+18;0.9941963786396908
