;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649599928608;open;0.32108377;181.5;0.0001;0.82;0.32043301;0.302;BTC-24JUN22-30000-C;42621.33;;42621.33;;0.302;7.0;0.3485;7.0;;10.0;0.0;0.302;0.302;42956.29;BTC-24JUN22;72.45;0.0;33.57;101.46;35.10783;-17.01478;50.62592;1e-05;0.89598;74.0;30000.0;1.6560648e+18;0.7038618553798508
BTC-22APR22-35000-P;1649599928608;open;0.00194274;543.4;0.0001;0.502;0.0021173;0.0015;BTC-22APR22-35000-P;42621.33;;42621.33;;0.0;0.0;0.0025;0.1;;23.5;0.0;0.0015;0.0015;42654.13;BTC-22APR22;66.09;0.0;0.0;68.36;6.861;-19.30921;-0.60559;2e-05;-0.04202;11.0;35000.0;1.6506216e+18;0.8211721646098259
BTC-24JUN22-55000-C;1649599928608;open;0.07404363;424.8;0.0001;0.561;0.06103648;0.0685;BTC-24JUN22-55000-C;42621.33;;42621.33;;0.0525;8.2;0.0;0.0;;;;;;42956.29;BTC-24JUN22;80.83;0.0;75.41;0.0;68.6812;-37.13868;21.99418;2e-05;0.31108;74.0;55000.0;1.6560648e+18;1.2904134015297264
BTC-30SEP22-300000-C;1649599928608;open;0.00261187;470.6;0.0001;0.5025;0.00258497;0.0025;BTC-30SEP22-300000-C;42621.33;;42621.33;;0.0015;0.9;0.0;0.0;;120.0;-44.4444;0.0025;0.0045;43670.73;BTC-30SEP22;107.3;0.0;101.42;0.0;9.71664;-3.01776;2.04775;0.0;0.01249;172.0;300000.0;1.664532e+18;7.038618553798508
BTC-30SEP22-60000-P;1649599929615;open;0.44331849;288.1;0.0001;0.9465;0.44684646;0.3775;BTC-30SEP22-60000-P;42621.39;;42621.39;;0.0;0.0;0.6755;0.1;;;;;;43670.3;BTC-30SEP22;65.16;0.0;0.0;150.31;106.57599;-20.10028;-234.13697;2e-05;-0.68601;172.0;60000.0;1.664532e+18;1.4077237107597016
BTC-30SEP22-50000-C;1649599929616;open;0.12317386;671.8;0.0001;0.6255;0.12581952;0.141;BTC-30SEP22-50000-C;42621.39;;42621.39;;0.126;0.9;0.1265;0.6;;;;;;43670.3;BTC-30SEP22;65.03;0.0;65.1;65.28;119.48062;-22.48966;70.83829;2e-05;0.46857;172.0;50000.0;1.664532e+18;1.1731030922997514
BTC-24JUN22-25000-C;1649599929615;open;0.4263184;119.5;0.0001;0.926;0.42608452;0.4005;BTC-24JUN22-25000-C;42621.39;;42621.39;;0.4045;8.0;0.447;8.0;;;;;;42955.89;BTC-24JUN22;79.97;0.0;0.0;113.74;19.01309;-10.1714;46.36677;1e-05;0.95321;74.0;25000.0;1.6560648e+18;0.5865515461498757
BTC-29APR22-40000-P;1649599929617;open;0.02461587;301.8;0.0001;0.5235;0.02352111;0.022;BTC-29APR22-40000-P;42621.39;;42621.39;;0.023;5.6;0.024;2.6;;1.3;-16.9811;0.022;0.0285;42698.25;BTC-29APR22;55.73;0.0;55.05;56.36;32.6229;-48.50721;-6.67532;6e-05;-0.28095;18.0;40000.0;1.6512264e+18;0.938482473839801
BTC-30SEP22-80000-C;1649599930621;open;0.05831858;274.5;0.0001;0.5575;0.0578977;0.0525;BTC-30SEP22-80000-C;42621.66;;42621.66;;0.0525;9.9;0.064;24.9;;12.9;0.0;0.0525;0.0525;43670.21;BTC-30SEP22;84.0;0.0;81.33;86.92;89.88289;-21.85407;34.33746;1e-05;0.22404;172.0;80000.0;1.664532e+18;1.876964947679602
BTC-30SEP22-50000-P;1649599930621;open;0.26707424;331.1;0.0001;0.7705;0.27075794;0.5015;BTC-30SEP22-50000-P;42621.66;;42621.66;;0.248;29.5;0.0;0.0;;;;;;43670.21;BTC-30SEP22;65.03;0.0;56.68;0.0;119.48033;-22.4896;-165.79451;2e-05;-0.53144;172.0;50000.0;1.664532e+18;1.1731030922997514
