;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649691032394;open;0.31315399;415.3;0.0001;0.79;0.2902;0.3035;BTC-24JUN22-30000-C;40815.24;;40815.24;;0.0;0.0;0.299;5.6;;563.8;1380.4878;0.0005;0.3035;41107.2;BTC-24JUN22;67.52;0.0;0.0;76.95;36.29809;-16.62972;49.19997;2e-05;0.88297;73.0;30000.0;1.6560648e+18;0.7350959300188674
BTC-22APR22-35000-P;1649691032395;open;0.00218182;770.4;0.0001;0.5055;0.0056;0.0005;BTC-22APR22-35000-P;40815.24;;40815.24;;0.0;0.0;0.0055;11.1;;234.5;0.0;0.0005;0.005;40812.28;BTC-22APR22;71.43;0.0;0.0;70.95;11.68787;-39.06208;-1.18752;3e-05;-0.09374;10.0;35000.0;1.6506216e+18;0.8576119183553453
BTC-24JUN22-55000-C;1649691032397;open;0.02851099;346.0;0.0001;0.52;0.0204;0.027;BTC-24JUN22-55000-C;40815.24;;40815.24;;0.0;0.0;0.0255;12.0;;265.8;-48.5714;0.026;0.0525;41106.68;BTC-24JUN22;58.48;0.0;0.0;62.87;45.73128;-18.14678;11.94549;2e-05;0.16435;73.0;55000.0;1.6560648e+18;1.347675871701257
BTC-30SEP22-300000-C;1649691032395;open;0.00246389;470.6;0.0001;0.502;0.0021;0.0025;BTC-30SEP22-300000-C;40815.24;;40815.24;;0.0015;0.9;0.0;0.0;;;;;;41758.02;BTC-30SEP22;107.3;0.0;103.65;0.0;7.89821;-2.46807;1.62802;0.0;0.0104;171.0;300000.0;1.664532e+18;7.350959300188674
BTC-30SEP22-60000-P;1649691032396;open;0.45326199;288.1;0.0001;0.999;0.4994;0.3775;BTC-30SEP22-60000-P;40815.24;;40815.24;;0.437;0.5;0.724;12.0;;;;;;41758.02;BTC-30SEP22;65.38;0.0;19.33;150.06;96.33353;-18.34208;-239.63396;2e-05;-0.72044;171.0;60000.0;1.664532e+18;1.4701918600377348
BTC-30SEP22-50000-C;1649691032398;open;0.12230258;1021.9;0.0001;0.6095;0.1099;0.1235;BTC-30SEP22-50000-C;40815.24;;40815.24;;0.109;0.7;0.112;4.0;;350.7;648.4848;0.0165;0.1235;41757.5;BTC-30SEP22;64.79;0.0;64.48;65.59;112.35004;-21.19759;62.35635;2e-05;0.42729;171.0;50000.0;1.664532e+18;1.2251598833647792
BTC-24JUN22-25000-C;1649691032394;open;0.42136154;123.4;0.0001;0.8965;0.3969;0.406;BTC-24JUN22-25000-C;40815.24;;40815.24;;0.0;0.0;0.0005;10.0;;3.9;0.0;0.406;0.406;41107.2;BTC-24JUN22;67.52;0.0;0.0;0.0;14.82033;-6.78983;47.01685;1e-05;0.96335;73.0;25000.0;1.6560648e+18;0.6125799416823896
BTC-29APR22-40000-P;1649691032395;open;0.0223079;314.7;0.0001;0.5295;0.0296;0.03;BTC-29APR22-40000-P;40815.24;;40815.24;;0.0085;2.0;0.032;4.5;;68.9;1.6949;0.0225;0.032;40840.75;BTC-29APR22;45.0;0.0;19.36;47.75;34.67833;-44.11693;-8.45601;0.0001;-0.39762;17.0;40000.0;1.6512264e+18;0.9801279066918233
BTC-30SEP22-80000-C;1649691032395;open;0.05811482;273.5;0.0001;0.5565;0.0569;0.064;BTC-30SEP22-80000-C;40815.24;;40815.24;;0.0525;9.9;0.064;23.9;;1.0;0.0;0.064;0.064;41758.02;BTC-30SEP22;87.32;0.0;85.13;90.81;83.87823;-21.32953;31.23936;1e-05;0.21587;171.0;80000.0;1.664532e+18;1.9602558133836465
BTC-30SEP22-50000-P;1649691032394;open;0.27560561;342.1;0.0001;0.807;0.3071;0.3025;BTC-30SEP22-50000-P;40815.24;;40815.24;;0.303;3.2;0.0;0.0;;25.5;-4.2722;0.2955;0.316;41758.02;BTC-30SEP22;64.79;0.0;63.22;0.0;112.35201;-21.19796;-172.82889;2e-05;-0.5727;171.0;50000.0;1.664532e+18;1.2251598833647792
