;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649425764264;open;0.35258719;180.7;0.0001;0.825;0.32500801;0.3395;BTC-24JUN22-30000-C;42949.37;;42949.37;;0.3235;4.8;0.3295;4.9;;;;;;43309.92;BTC-24JUN22;71.37;0.0;69.39;76.69;34.6798;-16.12363;52.42757;1e-05;0.90069;76.0;30000.0;1.6560648e+18;0.6987469138677971
BTC-22APR22-35000-P;1649425763928;open;0.00448101;519.9;0.0001;0.5015;0.0015931;0.002;BTC-22APR22-35000-P;42949.37;;42949.37;;0.0;0.0;0.0;0.0;;15.0;-99.602;0.002;0.5025;43059.22;BTC-22APR22;60.08;0.0;0.0;0.0;6.19467;-13.52664;-0.56565;1e-05;-0.03326;13.0;35000.0;1.6506216e+18;0.8152047328457632
BTC-24JUN22-55000-C;1649425763928;open;0.07204222;424.8;0.0001;0.569;0.06949508;0.0685;BTC-24JUN22-55000-C;42949.37;;42949.37;;0.0685;4.2;0.0;0.0;;3.0;0.0;0.0685;0.0685;43309.92;BTC-24JUN22;83.64;0.0;83.03;0.0;72.19955;-39.3366;24.01176;2e-05;0.33316;76.0;55000.0;1.6560648e+18;1.281036008757628
BTC-30SEP22-300000-C;1649425763928;open;0.0189518;470.6;0.0001;0.5025;0.00273623;0.0015;BTC-30SEP22-300000-C;42949.37;;42949.37;;0.0015;0.9;0.0;0.0;;;;;;44080.51;BTC-30SEP22;106.93;0.0;100.43;0.0;10.3061;-3.153;2.19578;0.0;0.01314;174.0;300000.0;1.664532e+18;6.987469138677971
BTC-30SEP22-60000-P;1649425763927;open;0.44797097;288.1;0.0001;0.967;0.46747648;0.434;BTC-30SEP22-60000-P;42949.37;;42949.37;;0.095;0.1;0.6675;0.1;;;;;;44079.81;BTC-30SEP22;76.9;0.0;0.0;150.23;115.84818;-25.48859;-230.13225;2e-05;-0.62302;174.0;60000.0;1.664532e+18;1.3974938277355942
BTC-30SEP22-50000-C;1649425763928;open;0.16887817;671.8;0.0001;0.655;0.15525384;0.141;BTC-30SEP22-50000-C;42949.37;;42949.37;;0.141;0.8;0.172;0.6;;121.4;-13.4969;0.141;0.163;44080.51;BTC-30SEP22;74.16;0.0;68.99;80.22;121.67514;-25.81821;73.68279;2e-05;0.50441;174.0;50000.0;1.664532e+18;1.1645781897796619
BTC-24JUN22-25000-C;1649425763926;open;0.44634494;132.5;0.0001;0.946;0.44623476;0.4465;BTC-24JUN22-25000-C;42949.37;;42949.37;;0.446;13.0;0.4465;10.0;;3.1;0.0;0.4465;0.4465;43309.22;BTC-24JUN22;106.17;0.0;105.79;106.49;30.91081;-21.37717;42.68866;1e-05;0.91498;76.0;25000.0;1.6560648e+18;0.5822890948898309
BTC-29APR22-40000-P;1649425764935;open;0.0251703;297.7;0.0001;0.528;0.02817589;0.023;BTC-29APR22-40000-P;42949.94;;42949.94;;0.022;8.7;0.0295;10.0;;22.2;-19.2982;0.0215;0.0285;42981.19;BTC-29APR22;61.25;0.0;53.5;62.88;34.85502;-51.42003;-7.67881;5e-05;-0.28597;20.0;40000.0;1.6512264e+18;0.9316625518237295
BTC-30SEP22-80000-C;1649425764934;open;0.0587668;274.5;0.0001;0.5575;0.05753769;0.053;BTC-30SEP22-80000-C;42949.94;;42949.94;;0.0525;22.8;0.064;24.9;;5.7;-17.1875;0.053;0.064;44080.15;BTC-30SEP22;82.59;0.0;80.12;85.65;91.35353;-21.58687;35.23027;1e-05;0.22447;174.0;80000.0;1.664532e+18;1.863325103647459
BTC-10APR22-45000-P;1649425764935;open;;0.0;0.0001;0.549;0.04901772;;BTC-10APR22-45000-P;42949.94;;42949.94;;0.0;0.0;0.0585;0.1;;;;;;42947.86942113;SYN.BTC-10APR22;47.9;0.0;0.0;100.41;4.53993;-61.8607;-1.99863;0.00011;-0.91738;1.0;45000.0;1.6495848e+18;1.0481203708016957
