;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-15APR22-48000-C;1649518277114;open;0.00331062;86.2;0.0001;0.5005;0.00064302;0.0005;BTC-15APR22-48000-C;42363.54;;42363.54;;0.0005;2.6;0.001;12.0;;36.6;-90.9091;0.0005;0.0055;42375.79;BTC-15APR22;50.99;0.0;49.01;54.97;3.30118;-14.80037;0.17429;2e-05;0.02704;5.0;48000.0;1.6500168e+18;1.1327700948694954
BTC-30SEP22-75000-P;1649518277112;open;0.78319951;21.4;0.2785;1.278;0.77845762;0.925;BTC-30SEP22-75000-P;42363.54;;42363.54;;0.0;0.0;0.0;0.0;;;;;;43446.73;BTC-30SEP22;76.16;0.0;0.0;0.0;88.45077;-19.39354;-322.45464;1e-05;-0.78125;173.0;75000.0;1.664532e+18;1.7699532732335865
BTC-22APR22-35000-C;1649518277112;open;0.19429645;3.0;0.0001;0.6765;0.17655802;0.06;BTC-22APR22-35000-C;42363.54;;42363.54;;0.0;0.0;0.0;0.0;;;;;;42367.74;BTC-22APR22;64.8;0.0;0.0;0.0;8.18878;-20.91293;11.3851;2e-05;0.94967;12.0;35000.0;1.6506216e+18;0.8259781941756738
BTC-30SEP22-65000-C;1649518277114;open;0.08550136;154.9;0.0001;0.56;0.06024012;0.0615;BTC-30SEP22-65000-C;42363.54;;42363.54;;0.059;12.0;0.061;5.5;;37.2;-26.3473;0.06;0.0835;43446.73;BTC-30SEP22;67.63;0.0;67.08;67.96;98.02693;-19.08452;42.17918;2e-05;0.26426;173.0;65000.0;1.664532e+18;1.5339595034691085
BTC-30DEC22-25000-P;1649518277114;open;0.04551193;260.9;0.0001;0.545;0.04505621;0.0455;BTC-30DEC22-25000-P;42363.54;;42363.54;;0.0445;4.1;0.046;7.0;;0.4;0.0;0.0455;0.0455;44082.24;BTC-30DEC22;73.27;0.0;72.93;73.86;71.06897;-9.83711;-49.90219;1e-05;-0.11105;264.0;25000.0;1.6723944e+18;0.5899844244111956
BTC-22APR22-50000-P;1649518277112;open;0.15577729;24.3;0.0001;0.682;0.18200231;0.1445;BTC-22APR22-50000-P;42363.54;;42363.54;;0.0;0.0;0.0;0.0;;;;;;42367.74;BTC-22APR22;51.82;0.0;0.0;0.0;7.86614;-16.06613;-16.70172;2e-05;-0.95214;12.0;50000.0;1.6506216e+18;1.1799688488223912
BTC-30SEP22-45000-P;1649518277114;open;0.22514085;282.5;0.0001;0.7055;0.20570521;0.208;BTC-30SEP22-45000-P;42363.54;;42363.54;;0.203;1.8;0.208;1.3;;3.2;0.241;0.2075;0.208;43446.73;BTC-30SEP22;67.47;0.0;66.48;68.32;118.09625;-22.93696;-132.98327;2e-05;-0.43753;173.0;45000.0;1.664532e+18;1.061971963940152
BTC-30SEP22-30000-C;1649518277112;open;0.35818898;349.7;0.0001;0.859;0.35901547;0.3665;BTC-30SEP22-30000-C;42363.54;;42363.54;;0.0;0.0;0.4;11.0;;;;;;43446.73;BTC-30SEP22;69.56;0.0;0.0;92.85;71.6704;-14.3517;100.29956;1e-05;0.84416;173.0;30000.0;1.664532e+18;0.7079813092934346
BTC-31MAR23-55000-P;1649518277113;open;0.43140448;0.0;0.0001;0.9345;0.4345504;;BTC-31MAR23-55000-P;42363.54;;42363.54;;0.0;0.0;0.0;0.0;;;;;;44675.37;BTC-31MAR23;71.15;0.0;0.0;0.0;175.67273;-17.57093;-397.28435;1e-05;-0.478;355.0;55000.0;1.6802568e+18;1.2979657337046302
BTC-30DEC22-40000-P;1649518277115;open;0.18237535;696.4;0.0001;0.6615;0.1618292;0.1575;BTC-30DEC22-40000-P;42363.54;;42363.54;;0.0;0.0;0.161;0.5;;;;;;44082.24;BTC-30DEC22;64.05;0.0;0.0;63.78;135.28495;-16.36764;-155.95629;1e-05;-0.32604;264.0;40000.0;1.6723944e+18;0.9439750790579129
