;timestamp;state;settlement_price;open_interest;min_price;max_price;mark_price;last_price;instrument_name;index_price;funding_8h;estimated_delivery_price;current_funding;best_bid_price;best_bid_amount;best_ask_price;best_ask_amount;stats.volume_usd;stats.volume;stats.price_change;stats.low;stats.high;underlying_price;underlying_index;mark_iv;interest_rate;bid_iv;ask_iv;greeks.vega;greeks.theta;greeks.rho;greeks.gamma;greeks.delta;t;strike;expiration;m
BTC-24JUN22-30000-C;1649950694236;open;0.28361393;515.3;0.2375;0.3035;0.2673;0.2755;BTC-24JUN22-30000-C;40060.19;;40060.19;;0.0;0.0;0.2905;119.5;;35.1;0.3643;0.2715;0.2905;40290.83;BTC-24JUN22;55.66;0.0;0.0;81.19;29.34162;-11.5527;49.97868;2e-05;0.90768;70.0;30000.0;1.6560648e+18;0.7490449676662255
BTC-16APR22-38000-P;1649950694236;open;;105.5;0.0001;0.023;0.0017;0.002;BTC-16APR22-38000-P;40060.19;;40060.19;;0.0015;25.9;0.002;2.0;;407.5;100.0;0.0008;0.002;40064.6029;SYN.BTC-16APR22;59.4;0.0;57.15;61.64;4.46666;-69.78731;-0.17192;0.0001;-0.09138;1.0;38000.0;1.6501032e+18;0.948790292377219
BTC-22APR22-35000-P;1649950694236;open;0.00113906;1362.0;0.0001;0.02;0.0024;0.002;BTC-22APR22-35000-P;40060.19;;40060.19;;0.002;13.3;0.003;12.0;;407.3;-20.0;0.0015;0.003;40071.46;BTC-22APR22;61.63;0.0;59.36;65.06;6.88896;-27.63465;-0.52267;3e-05;-0.0596;7.0;35000.0;1.6506216e+18;0.8738857956105965
BTC-24JUN22-55000-C;1649950694242;open;0.02731131;494.7;0.001;0.05;0.016;0.02;BTC-24JUN22-55000-C;40060.19;;40060.19;;0.015;48.2;0.0175;44.4;;488.0;17.6471;0.001;0.023;40290.83;BTC-24JUN22;57.96;0.0;56.96;59.53;38.93413;-15.96186;9.46471;2e-05;0.13725;70.0;55000.0;1.6560648e+18;1.3732491073880801
BTC-30SEP22-300000-C;1649950694236;open;0.00161035;470.6;0.0001;0.021;0.0017;0.0015;BTC-30SEP22-300000-C;40060.19;;40060.19;;0.001;102.4;0.0;0.0;;;;;;40817.02;BTC-30SEP22;107.14;0.0;101.56;0.0;6.60555;-2.09783;1.32904;0.0;0.00879;168.0;300000.0;1.664532e+18;7.490449676662256
BTC-30SEP22-60000-P;1649950694236;open;0.4817624;288.1;0.4565;0.6185;0.5248;0.4865;BTC-30SEP22-60000-P;40060.19;;40060.19;;0.47;0.5;0.5235;144.8;;10.7;0.0;0.4865;0.4865;40817.02;BTC-30SEP22;64.75;0.0;17.6;63.95;89.31731;-17.14212;-239.38327;2e-05;-0.74381;168.0;60000.0;1.664532e+18;1.498089935332451
BTC-6MAY22-42000-P;1649950695122;open;;73.8;0.0445;0.1265;0.0803;0.0785;BTC-6MAY22-42000-P;40060.19;;40060.19;;0.08;0.2;0.0805;6.4;;179.2;27.6423;0.061;0.0785;40118.725;SYN.BTC-6MAY22;53.86;0.0;53.61;54.15;37.47239;-46.54203;-16.48717;7e-05;-0.61159;21.0;42000.0;1.6518312e+18;1.0486629547327158
BTC-30SEP22-50000-C;1649950694236;open;0.10749671;1039.9;0.053;0.171;0.0999;0.104;BTC-30SEP22-50000-C;40060.19;;40060.19;;0.099;0.4;0.1015;2.9;;11.5;-0.9524;0.104;0.1075;40817.02;BTC-30SEP22;64.26;0.0;63.94;64.89;107.39644;-20.45707;57.1493;2e-05;0.40281;168.0;50000.0;1.664532e+18;1.2484082794437092
BTC-24JUN22-25000-C;1649950695243;open;0.39835688;129.5;0.361;0.4085;0.3825;0.0005;BTC-24JUN22-25000-C;40061.1;;40061.1;;0.0;0.0;0.3935;23.3;;41.6;0.0;0.0005;0.0005;40290.01;BTC-24JUN22;60.27;0.0;0.0;85.09;10.94386;-4.66606;46.09865;1e-05;0.97331;70.0;25000.0;1.6560648e+18;0.6242041397218546
BTC-29APR22-40000-P;1649950695243;open;0.02700367;374.0;0.013;0.079;0.0395;0.035;BTC-29APR22-40000-P;40061.1;;40061.1;;0.0395;0.3;0.041;0.3;;213.2;18.6441;0.0005;0.035;40094.08;BTC-29APR22;50.88;0.0;50.9;52.78;31.99227;-55.43689;-8.22464;0.0001;-0.47049;14.0;40000.0;1.6512264e+18;0.9987266235549674
BTC-30SEP22-80000-C;1649950695243;open;0.06124762;266.6;0.009;0.094;0.0337;0.027;BTC-30SEP22-80000-C;40061.1;;40061.1;;0.0195;3.1;0.0;0.0;;;;;;40814.67;BTC-30SEP22;77.07;0.0;67.16;0.0;65.62742;-14.99272;22.55224;1e-05;0.15327;168.0;80000.0;1.664532e+18;1.9974532471099349
BTC-30SEP22-50000-P;1649950695243;open;0.2970408;324.1;0.2585;0.415;0.3248;0.319;BTC-30SEP22-50000-P;40061.1;;40061.1;;0.319;11.5;0.0;0.0;;;;;;40814.67;BTC-30SEP22;64.26;0.0;62.02;0.0;107.38678;-20.45523;-173.93147;2e-05;-0.59724;168.0;50000.0;1.664532e+18;1.2484082794437092
BTC-30DEC22-50000-P;1649950695243;open;0.32219503;322.1;0.281;0.456;0.355;0.343;BTC-30DEC22-50000-P;40061.1;;40061.1;;0.3;1.0;0.0;0.0;;81.6;-58.9467;0.343;0.8355;41370.21;BTC-30DEC22;64.55;0.0;47.95;0.0;138.81203;-17.25308;-260.54977;2e-05;-0.53018;259.0;50000.0;1.6723944e+18;1.2484082794437092
