;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
1;C;Short;43503.847656;40000;0.0;0.04;1;0.7976138050389956;-488.29165352733594;-494.8074299198415;-0.013568339518946315;-0.006710535633976516;0.006596002995299306;0.0037854259590323286;14.413871361998057;7.424821351213101;-210357.55935930015;-261.1618450880668;-0.0977627265464744;0.09012231139790365
2;C;Short;43503.847656;45000;0.0;0.04;1;0.6900325996969652;-169.21333484745932;-211.61322776200268;-0.41282161228686587;-0.39531501979970113;-0.10528696535182333;-0.0863423384056853;-199.04503675595333;-125.69726336308933;2490080.181601689;3107.942163260638;-11.036208555804544;-10.556575884923316
3;C;Short;43503.847656;50000;0.0;0.04;2;1.7719052921893312;-1295.8996766556002;-3484.31949932722;-0.12418596222777689;-0.08218964833767008;-0.009441310820604454;-0.0010726043456916205;-91.6663485382654;-2.0129558972206167;1477152.3653378345;-196.77080266997612;-6.256765053576816;-3.9555971691874015
4;C;Short;43503.847656;44000;0.0;0.04;3;1.4568246566867955;-438.6515585558696;-406.07803789337413;-0.06804449647910134;-0.07439884167136884;-0.00011495864367546538;-0.0006087209979161662;-1.3765034515536128;4.376302708141862;9477.27549761578;-389.27021593534505;-4.770780532528878;-5.293055479838545
5;C;Short;43503.847656;39000;0.0;0.04;5;0.4935782808851479;-4840.4507826346;-4973.606983147714;-0.012804094457272012;-0.00234934476238445;0.004236057518648512;0.0009320734288368523;28.641451887467635;6.191132260069692;-52111.47861233988;-30.04284509476108;-0.3841225283934268;1.0480349640569244
6;C;Short;43503.847656;47000;0.0;0.04;5;0.4852194990294304;-80.88369667205048;-79.36166071471371;-0.326346588586686;-0.3424751152324955;-0.0771385937239092;-0.0849320228616848;-512.7280794869861;-470.91288120080213;895013.8022710729;1819.7008759118112;-43.33514912146384;-45.54453633321853
7;C;Short;43503.847656;50000;0.0;0.04;6;0.6477235794944906;-422.36546147327044;-3540.9624745278365;-0.25676029825222324;-0.10443005149691612;-0.0507749815733243;-0.001689828233987545;-540.627169536007;-11.154255645104783;1054851.191234083;19.211593365038496;-40.563336698995606;-15.52274819127388
8;C;Short;43503.847656;42000;0.0;0.04;6;0.46589696312774337;-3540.8891341003145;-4585.1626389914345;-0.08115625513028968;-0.02360177183397895;0.008257825546733714;0.004642896686587589;63.243219357730425;33.75755225241477;-92868.4227099927;-124.01558196874933;-11.696918651554471;-2.23590769873627
9;C;Short;43503.847656;38000;0.0;0.04;7;0.6651603263924951;-921.3244092070805;-966.0134717490873;-0.017297479094949848;-0.008723782444494309;0.0028282804021746454;0.0018327262222252593;36.078957282410656;19.18939607337605;-63258.87213295688;-70.74762670302643;-1.3995165387575044;0.244754051740813
10;C;Short;43503.847656;48000;0.0;0.04;7;0.6456116349383795;-1243.892013872242;-5315.168112089886;-0.18446538679029048;-0.06463542313408431;-0.02195065688347874;0.0009327902404435397;-271.7840995879418;11.122274743503564;450088.8599791573;-56.34436149391018;-33.45911527485022;-10.478026354481926
Options; ; ;43503.847656;;0.0;0.04;;;-13441.861721545823;-24057.09353612311;-0.07415921429142554;-0.05289090458997038;-0.0021960847268106;-1.8871554195436842e-05;-26.64106896406747;6.575975774301451;199039.56572442493;-49.410099910970715;-8.848437502660547;-5.702964773976406
