;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
3;C;Short;42782.136719;50000;0.0;0.04;0;0.41917460993044564;-0.0;-2782.136719000002;;-0.15377438652395706;;;;-0.0;;;;-0.0
4;C;Short;42782.136719;44000;0.0;0.04;1;0.6944284843162605;-213.7674156237604;-318.9832514158479;-0.37479254386051325;-0.30297322467276416;-0.07806302216802498;-0.03553732768256402;-148.51831826106368;-67.6113221897348;1867228.4474845354;2314.3588543721785;-9.99431627015105;-8.026663689664774
5;C;Short;42782.136719;39000;0.0;0.04;3;2.062381023648435;-3276.719911533087;-3854.250009856769;-0.030057355027561974;-0.020567832809006568;0.0009432588288282687;0.001003185627376295;15.989252950391247;17.00507672135113;-201805.87972657933;-586.7698013382982;-1.6485497282927644;-0.8685889980005385
6;C;Short;42782.136719;47000;0.0;0.04;3;2.787891269451718;-308.64596725462786;-323.77726582933246;-0.045137704875720594;-0.04389949510068512;-0.0004410071701642603;-0.0003548006981224587;-10.105315392875749;-8.129965222117693;169577.32520466857;372.9467474887858;-2.888030537730461;-2.7862598712891735
7;C;Short;42782.136719;50000;0.0;0.04;4;0.5583940150927383;-34.27994613339832;-2912.5648566304394;-0.5147908228108322;-0.1285187495112283;-0.23296039233882063;-0.004738994013749782;-1425.5746721715468;-28.99973583384321;3611306.0324383196;188.33174008932744;-55.319542225844636;-12.988356110819536
8;C;Short;42782.136719;42000;0.0;0.04;4;0.38340161573776327;-3329.6811994426466;-4635.980776233559;-0.1361533091421373;-0.029466180060112764;0.015904858597822067;0.00820150037807976;66.82683270669192;34.459928727996235;-122344.2974475574;-168.37907482407064;-13.825020179960253;-2.1332800065877007
9;C;Short;42782.136719;38000;0.0;0.04;5;0.6384193355595693;-938.4219102646409;-956.3918504410685;-0.01733684000209028;-0.01286452795243697;0.003750327796489708;0.0030576625285628285;32.798380547473165;26.74069698425306;-77121.26275548282;-172.12759129332505;-1.0050465756288047;-0.3924010893749257
10;C;Short;42782.136719;48000;0.0;0.04;5;0.5715234945219927;-390.31781453934826;-4749.1682442448255;-0.3235401494208608;-0.08272609363835086;-0.08199014474384687;0.0002085132982775674;-641.9081375392785;1.6324691628205743;1326117.768062382;-18.395818081781776;-42.9507054001179;-9.962478580596006
Options; ; ;42782.136719;;0.0;0.04;;;-8491.83416479151;-20533.25297365184;-0.09492488808188575;-0.07471098154207559;0.0003246370525497806;0.0010008057874232106;-3.3680680504354528;7.303375217194437;-5665.020152639177;-91.88140483839459;-8.722087162344183;-4.978183872647661
