;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
07/04/2022;C;43503.847656;50000;0.0;0.04;2;1.7719052921893312;1295.8996766556002;3484.31949932722;0.12418596222777689;0.08218964833767008;0.009441310820604454;0.0010726043456916205;91.6663485382654;2.0129558972206167;-1477152.3653378345;196.77080266997612;6.256765053576816;3.9555971691874015
08/04/2022;C;42287.664063;50000;0.0;0.04;1;0.9397543462971145;2.9889308984416396;2414.000057283901;0.7497406335542411;0.1532964839117065;0.5157034796743415;0.0072612869113703364;1327.7659902041319;18.695413519645538;-22741883.32257463;-861.6551908701814;20.266866672718933;3.9259310660741513
09/04/2022;C;42782.136719;50000;0.0;0.04;0;0.41917460993044564;0.0;2782.136719000002;;0.15377438652395706;;;;0.0;;;;0.0
