Date;Positions;Spot;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
12/03/2022;Options;38904.011719;-10081.531632858188;-33712.00815915738;-0.03063730279852381;-0.025486692390455225;-0.0022332703360233323;-0.0003187062872428911;-17.87921324542028;-3.838031418453487;71549.33906585364;25.66056756385347;-7.058121617285879;-5.642524163632996
12/03/2022;Delta_hedge;38904.011719;1191.9139871123218;991.5345794368183;-0.25913861289360435;-0.8665432347351741;0;0;0;0;0;0;0;0
12/03/2022;Cash;38904.011719;28889.617645745864;52720.473579720565;0;0;0;0;0;0;0;0;0;0
12/03/2022;Portfolio;38904.011719;20000.0;20000.0;0.0;0.0;0.0011257392768671529;0.000537211447795355;9.012492695216084;6.469387324700317;-36066.34625512498;-43.25346315406187;3.5578338176613893;9.511041032131912
13/03/2022;Options;37849.664063;-9194.802801388447;-31312.927555784267;-0.024343136035529966;-0.025874284749089427;-0.0014444620196257117;-0.0004531182141780581;2.906652360405201;-3.1249286482659433;45979.93457937088;37.518033580208375;-6.333946205569733;-5.481860339695606
13/03/2022;Delta_hedge;37849.664063;921.3795211847188;979.332985623439;-0.242929574912049;-0.8272973705569628;0;0;0;0;0;0;0;0
13/03/2022;Cash;37849.664063;29160.152111673466;52732.67517353394;0;0;0;0;0;0;0;0;0;0
13/03/2022;Portfolio;37849.664063;20886.728831469736;22399.080603373113;0.0;0.0;0.0027917782133209538;0.0015927848271239057;15.980176466869016;15.921464085202414;-89311.7489356418;-129.69005492384193;9.60192190167672;24.64809814068668
14/03/2022;Options;39666.753906;-10234.61834592708;-35289.43885917324;-0.030163038498014768;-0.026043896088544155;-0.003072810865093061;-0.0002726350404895108;-17.393383720416423;-3.2436303243662112;102909.2585946715;22.45455682597471;-5.407807901976279;-4.653819154994896
14/03/2022;Delta_hedge;39666.753906;1196.4698251579557;1033.076816897717;-0.25801502109752894;-0.8896477625267782;0;0;0;0;0;0;0;0
14/03/2022;Cash;39666.753906;28885.06180770023;52678.93134225966;0;0;0;0;0;0;0;0;0;0
14/03/2022;Portfolio;39666.753906;19846.913286931107;18422.569299984134;0.0;0.0;0.007460670246865434;0.004395422143720675;42.60420030980675;44.92957498336091;-241049.95470984132;-358.38023405431267;22.998655831681724;68.8514245664484
15/03/2022;Options;39338.785156;-9755.01237179823;-34439.49709703149;-0.02316978697118156;-0.026501138436063956;-0.0022856557742638385;-0.0003185849646957454;-2.033872090044771;-2.6956084862465555;76010.69610934501;26.47629299039175;-4.327312450680036;-4.246007747519664
15/03/2022;Delta_hedge;39338.785156;911.4712717695993;1042.5225913257339;-0.24797441845532903;-0.875459091084279;0;0;0;0;0;0;0;0
15/03/2022;Cash;39338.785156;29170.060361088585;52669.485567831645;0;0;0;0;0;0;0;0;0;0
15/03/2022;Portfolio;39338.785156;20326.519261059955;19272.511062125886;0.0;0.0;0.015666191892947868;0.008972460490495134;84.17398787476303;90.71323464289532;-507203.43441072875;-732.4629139035418;46.98874560080157;139.21749188788723
16/03/2022;Options;41143.929688;-10124.195079636576;-38195.59839759176;-0.0312697569783827;-0.026502037829206376;-0.005822578372505613;-0.00029468149251919864;-21.25114821189329;-3.9648511163638935;206474.95968214035;25.898485676340105;-4.123902000075667;-3.583344996399151
16/03/2022;Delta_hedge;41143.929688;1286.560682479425;1090.3979810335832;-0.2460677712705063;-0.9283410380883442;0;0;0;0;0;0;0;0
16/03/2022;Cash;41143.929688;28794.97095037876;52621.610178123796;0;0;0;0;0;0;0;0;0;0
16/03/2022;Portfolio;41143.929688;19957.33655322161;15516.409761565614;0.0;0.0;0.034865735714434715;0.023014294514386722;182.24271220247368;235.1048698298644;-1137915.0453253766;-1883.2969629345941;97.80796491295574;354.65738504373456
17/03/2022;Options;40951.378906;-9739.633253213173;-37526.58321683946;-0.017663195420979914;-0.026185237237127325;-0.0007880589087491258;-0.00046705713864229626;-0.28752191454922976;-4.050773216471334;24713.5038299339;39.60199995551345;-2.2062877010118362;-3.0205884556607034
17/03/2022;Delta_hedge;40951.378906;723.3322083752726;1072.3215718411016;-0.23783407331825324;-0.9163692217294606;0;0;0;0;0;0;0;0
17/03/2022;Cash;40951.378906;29358.19942448291;52639.686587316275;0;0;0;0;0;0;0;0;0;0
17/03/2022;Portfolio;40951.378906;20341.898379645012;16185.424942317914;0.0;0.0;0.0687905239862312;0.04520891538561241;357.7325235718884;460.16577872890093;-2244638.463362935;-3702.722833640454;192.97419083039043;686.9990146246138
18/03/2022;Options;41801.15625;-9993.730802881128;-32530.239715963013;-0.016595083316292995;-0.0182598216601425;-0.0015195479632600466;-0.0008211168322381762;-2.8258731999527558;-5.742469238153271;43602.67186935002;63.53382040622825;-0.5974780540397634;-3.2217430297496907
18/03/2022;Delta_hedge;41801.15625;693.6936706861317;763.281658312751;-0.2390778557203457;-0.7782138733533959;0;0;0;0;0;0;0;0
18/03/2022;Cash;41801.15625;29387.837962172052;52948.72650084463;0;0;0;0;0;0;0;0;0;0
18/03/2022;Portfolio;41801.15625;20087.80082997706;21181.768443194363;0.0;0.0;0.14007733718211085;0.07035116755141221;725.9210912460393;712.0633617824536;-4567755.782881094;-5756.226433456687;391.1276232209501;1054.8479984704018
19/03/2022;Options;42190.652344;-9992.86133464014;-32775.79631439042;-0.011266643296537126;-0.01602512655658724;-0.00021630737148972733;-0.00017555448235154618;-1.09184501352599;-5.0101978827921;5582.79156310773;11.659541618235016;0.3639275593795746;-2.948841798139436
