;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
1;C;Short;43503.847656;40000;0.0;0.04;1;0.6442;-496.62385487786224;-497.9341615144076;-0.005636293038348658;-0.00361138912312564;0.004185388197107004;0.00284878912643419;7.386923497469402;5.027917685613439;-87070.92585805758;-162.3449973246363;0.11955361538770803;0.17503043498286505
2;C;Short;43503.847656;45000;0.0;0.04;1;0.6442;-153.17725820423738;-248.77140081695234;-0.45775642762391083;-0.3709938965335164;-0.13428778538417566;-0.0695465192948621;-237.00874340955056;-122.7448430952059;2768118.5861009355;3912.954530723049;-12.26729938695646;-9.890243740644285
3;C;Short;43503.847656;50000;0.0;0.04;2;0.6442;-16.04404666508063;-3524.8660022087906;-0.6781629895475763;-0.11853163249885935;-0.41232432988450834;-0.001962503591710275;-1455.4484017073992;-6.92736884262882;8528472.206384744;98.57550726545666;-36.611670660141165;-5.946938767060788
4;C;Short;43503.847656;44000;0.0;0.04;3;0.6442;-409.4332023056212;-486.9450352589047;-0.16251907889718317;-0.13930475832141292;-0.004747326862279763;0.0006173227519938277;-25.136120257648965;3.26859712466647;92004.75958647556;-50.36011267970692;-12.535814703878069;-10.627788355184633
5;C;Short;43503.847656;39000;0.0;0.04;5;0.6442;-4599.584956828801;-4896.8085108353625;-0.021450869567892526;-0.006123521322886787;0.0042103801254022195;0.0015512985701924384;37.15516269567273;13.689678615314637;-88222.08348393186;-88.85998046976232;-1.5686122695743179;0.5310244763168765
6;C;Short;43503.847656;47000;0.0;0.04;5;0.6442;-142.27138301513398;-177.50151249954888;-0.20976948466044057;-0.1936923863204853;-0.027676211605245155;-0.02174341697531532;-244.23308926162917;-191.87820843148106;565881.8103871288;1214.8528558311668;-27.365682830197336;-25.163340591847295
7;C;Short;43503.847656;50000;0.0;0.04;6;0.6442;-414.33700933092945;-3685.752420651961;-0.2591089891659863;-0.09481689601858079;-0.051815713730630916;-0.001826633268189078;-548.7071142784511;-19.343295638916235;1064795.2229469859;93.45036604055032;-40.94942287660049;-13.942503455109168
8;C;Short;43503.847656;42000;0.0;0.04;6;0.6442;-3233.9650793175424;-4240.559919265863;-0.0695640471397749;-0.030750417918262073;0.0038681544752794234;0.0037779294326701486;40.962166240685;40.00672011823742;-83045.53717451589;-218.1393179810314;-9.79135021475752;-3.4110276030019815
9;C;Short;43503.847656;38000;0.0;0.04;7;0.6442;-928.2656145464337;-945.8441657950825;-0.01652123479816337;-0.012975051397039538;0.002874543004736603;0.002456626642153396;35.51360061797051;30.350444329113756;-60306.70263553552;-141.07732513230772;-1.2506477695107827;-0.5705578021719788
10;C;Short;43503.847656;48000;0.0;0.04;7;0.6442;-1239.1152313637283;-5301.446469476634;-0.1850834045880347;-0.06531762022132372;-0.022124887722734583;0.000977202768637397;-273.3423799915051;12.072871684639667;451681.04834892554;-62.71055207561236;-33.57763923606146;-10.60885867258263
Options; ; ;43503.847656;;0.0;0.04;;;-11632.817636455371;-24006.429598323506;-0.07357197532203906;-0.06175512363051423;-0.0038966057686886046;-8.208303563066551e-05;-28.43196165577857;7.214133040927935;77910.45156677258;-2.1013919405193513;-9.460067389758407;-6.3737929183541375
