;Typ;Position;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
4;C;Short;42207.671875;44000;0.0;0.04;0;0.6183;-0.0;-0.0;;;;;;;;;;
5;C;Short;42207.671875;39000;0.0;0.04;2;0.6183;-4776.834884477288;-4967.843114729309;-0.021535076865683338;-0.0034390903520656216;0.008210822520421298;0.0016150553449764745;27.81781679110405;5.471719012597009;-157809.17768732648;-84.95598325114327;-0.6320590063388132;0.35950189851695286
6;C;Short;42207.671875;47000;0.0;0.04;2;0.6183;-8.716632188262372;-16.837977070692773;-0.5924190702979361;-0.5377670205151774;-0.30180651988767027;-0.24192941710850902;-1022.5039520358712;-819.6436087572116;5745257.753275067;12610.707710253346;-31.9133737149554;-28.918740850146705
7;C;Short;42207.671875;50000;0.0;0.04;3;0.6183;-11.20413976930306;-2402.703036118406;-0.595038384142744;-0.1466771167866627;-0.31848506912040786;-0.007589152897528428;-1618.5149444149163;-38.56745125924788;6063959.187935727;381.3633806471891;-48.08534664186937;-11.233735626301048
8;C;Short;42207.671875;42000;0.0;0.04;3;0.6183;-2607.8603134902733;-4159.586749682589;-0.13625321726377548;-0.04537116904307759;0.002677535151720577;0.0067417234166067775;13.607013569661635;34.26088428894222;-56630.52900545858;-358.03059550638;-10.376976761406205;-2.9072193734036373
9;C;Short;42207.671875;38000;0.0;0.04;4;0.6183;-943.3253680100753;-962.1252986972177;-0.01865524712294088;-0.013144179699535121;0.004749926122698089;0.003712604439304946;32.184978867553184;25.15620081996984;-91539.83411416723;-195.86644513660602;-0.9485202326510551;-0.3445676383052134
10;C;Short;42207.671875;48000;0.0;0.04;4;0.6183;-213.85531311717497;-4222.04450768776;-0.3702047979300993;-0.09247155712834922;-0.11217183012478088;-0.0006838050043373829;-760.0640281222139;-4.633387771855384;2129327.6810153853;25.67642646738766;-39.47449840329854;-9.037978863380737
Options; ; ;42207.671875;;0.0;0.04;;;-8561.796651052378;-16731.140683985974;-0.06620081165175996;-0.05799676385055097;0.0023940626296163822;0.0008632392762542368;1.06713888429562;4.056360443829649;-48409.92794818569;-51.56292811503204;-4.699302672011725;-4.5588889393554926
