;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
07/04/2022;C;43503.847656;47000;0.0;0.04;5;0.6442;142.27138301513398;177.50151249954888;0.20976948466044057;0.1936923863204853;0.027676211605245155;0.02174341697531532;244.23308926162917;191.87820843148106;-565881.8103871288;-1214.8528558311668;27.365682830197336;25.163340591847295
08/04/2022;C;42287.664063;47000;0.0;0.04;4;0.6212;48.064245544486084;67.8016769320584;0.3197222615204396;0.29578027971102505;0.07860972936909477;0.06461228037288157;535.1491932502101;439.8591623850303;-1503944.3317787587;-3383.092118691155;33.94216564607557;31.318386817646587
09/04/2022;C;42782.136719;47000;0.0;0.04;3;0.6173;43.26593814547938;65.10979125412541;0.3792555470575968;0.3463104833134416;0.11235977841291245;0.08960440428047343;570.0796538160891;454.6257432520789;-2125616.6474467837;-4639.389354704029;30.34977099103536;27.641957532611634
10/04/2022;C;42207.671875;47000;0.0;0.04;2;0.6183;8.716632188262372;16.837977070692773;0.5924190702979361;0.5377670205151774;0.30180651988767027;0.24192941710850902;1022.5039520358712;819.6436087572116;-5745257.753275067;-12610.707710253346;31.9133737149554;28.918740850146705
11/04/2022;C;39521.902344;47000;0.0;0.04;1;0.6593;0.00023029185905489122;0.0015761707780272104;1.5147155976021567;1.3893217262927122;2.1979533805188587;1.8371783603593077;3970.166202126254;3318.497788999703;-47709344.40747449;-109242.02517861711;41.225084865812505;37.78963633678664
12/04/2022;C;40127.18;47000;0.0;0.04;0;0.6504;0.0;0.0;;;;;;;;;;
