;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
07/04/2022;C;43503.847656;48000;0.0;0.04;7;0.6442;1239.1152313637283;5301.446469476634;0.1850834045880347;0.06531762022132372;0.022124887722734583;-0.000977202768637397;273.3423799915051;-12.072871684639667;-451681.04834892554;62.71055207561236;33.57763923606146;10.60885867258263
08/04/2022;C;42287.664063;48000;0.0;0.04;6;0.6212;506.11817816401873;4311.397897871951;0.2583483888456216;0.08388449635536277;0.05057968622408735;0.0004549257742718057;516.494812313475;4.645477659906504;-965574.4040656143;-14.855267834386751;40.82439268695149;12.145396661155527
09/04/2022;C;42782.136719;48000;0.0;0.04;5;0.6173;508.64605560321553;4745.292459727255;0.2845056414185183;0.08051852913065358;0.06159848127737918;-0.00022832325704219143;520.8868834592625;-1.9307389941389714;-1162253.4513750798;20.742400208699696;37.60351252308468;9.660072483651176
10/04/2022;C;42207.671875;48000;0.0;0.04;4;0.6183;213.85531311717497;4222.04450768776;0.3702047979300993;0.09247155712834922;0.11217183012478088;0.0006838050043373829;760.0640281222139;4.633387771855384;-2129327.6810153853;-25.67642646738766;39.47449840329854;9.037978863380737
11/04/2022;C;39521.902344;48000;0.0;0.04;3;0.6593;5.0658152421947324;1867.39197641099;0.5940796628637302;0.15900828619245463;0.320742358327895;0.011118577444513665;1738.0720836623104;60.250505006859136;-6947194.939100034;-644.627066906905;48.00654763263535;12.247256399379834
12/04/2022;C;40127.18;48000;0.0;0.04;2;0.6504;0.8854657666799165;2240.620373349651;0.8282336310219157;0.15666840926019593;0.6367664932621449;0.00763554870753537;2269.3311080421877;27.211840434964415;-13435123.8478787;-425.295384731678;44.83471950805019;8.03662516494224
13/04/2022;C;41166.73;48000;0.0;0.04;1;0.6508;0.029703506178352213;3166.5173899009187;1.3890467749949482;0.12881532350150646;1.8326935068731298;0.0009313511631264819;3267.7176281452967;1.6606118820896292;-38755447.17024471;-39.919562862209524;37.782103424519136;3.255214342507027
14/04/2022;C;39981.64;48000;0.0;0.04;0;0.651;0.0;1981.6399999999994;;0.20176036010577103;;;;0.0;;;;0.0
