;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
07/04/2022;C;43503.847656;44000;0.0;0.04;3;0.6442;409.4332023056212;486.9450352589047;0.16251907889718317;0.13930475832141292;0.004747326862279763;-0.0006173227519938277;25.136120257648965;-3.26859712466647;-92004.75958647556;50.36011267970692;12.535814703878069;10.627788355184633
08/04/2022;C;42287.664063;44000;0.0;0.04;2;0.6212;186.46738045163025;262.5985268326749;0.3128399062422943;0.26721800568737714;0.05748864561316352;0.033865108557844886;195.6818994788886;115.27126266374377;-1096699.4668514142;-1760.8785441611055;16.593967465331197;14.094137297938468
09/04/2022;C;42782.136719;44000;0.0;0.04;1;0.6173;187.20011678008163;300.5426170902829;0.44455262746390584;0.3509432892299158;0.11776653181702124;0.05207954274657441;199.17063038533482;88.07863489715176;-2226019.4448992703;-2680.0875275548447;11.905551437367285;9.340912033696329
10/04/2022;C;42207.671875;44000;0.0;0.04;0;0.6183;0.0;0.0;;;;;;;;;;
