;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
07/04/2022;C;43503.847656;50000;0.0;0.04;2;0.6442;16.04404666508063;3524.8660022087906;0.6781629895475763;0.11853163249885935;0.41232432988450834;0.001962503591710275;1455.4484017073992;6.92736884262882;-8528472.206384744;-98.57550726545666;36.611670660141165;5.946938767060788
08/04/2022;C;42287.664063;50000;0.0;0.04;1;0.6212;0.0011584408046554967;2307.0624692594342;1.6463026168617318;0.1755032734292837;2.602186076024728;0.00509345832693813;4428.706823086467;8.668647432038261;-50141954.277974494;-250.0149537948033;44.83020868114333;4.5343362583365385
09/04/2022;C;42782.136719;50000;0.0;0.04;0;0.6173;0.0;2782.136719000002;;0.15377438652395706;;;;0.0;;;;0.0
