;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
12/03/2022;C;38904.011719;47000;0.0;0.04;15;0.8073;106.19228645612417;118.85775815841043;0.10548675676700466;0.10207354381458311;0.0069830309725660514;0.0063381500291873815;231.67400975969483;210.27898021491671;-223334.21722543848;-554.6745939704414;39.24113291794712;37.838442663527296
13/03/2022;C;37849.664063;47000;0.0;0.04;14;0.8063;72.1652763325118;82.12387843442411;0.12061181607474396;0.11683728660945682;0.009944133204989925;0.009115004544336365;307.5379847796364;281.8958747873365;-318419.3671843482;-798.9553560856136;42.42645000127165;40.97868527486017
14/03/2022;C;39666.753906;47000;0.0;0.04;13;0.8232;119.24916298700799;133.7375593672259;0.10750020721166509;0.10374434757112738;0.007081423148804326;0.006361637847983042;207.62344649108044;186.51973587390515;-235639.22909723327;-579.1809355513266;34.72610119867524;33.388397765059075
15/03/2022;C;39338.785156;47000;0.0;0.04;12;0.8205;100.40321362395859;113.87258440714322;0.11783609003769066;0.11367508310790395;0.00895406617247029;0.008071544093667423;241.53900146340408;217.73266615410822;-296689.4897558421;-731.9160090600657;35.45296110828187;34.08495882999577
16/03/2022;C;41143.929688;47000;0.0;0.04;11;0.8447;161.32926881988573;180.06373057852306;0.10340562823542829;0.09930995118764789;0.005940108376224218;0.0051988894414436776;151.21563013523993;132.34663293989678;-207782.51402040815;-497.26763060684175;28.149641386019486;26.915327755181586
17/03/2022;C;40951.378906;47000;0.0;0.04;10;0.8032;133.29756878243964;151.68750290475236;0.12145382500179173;0.11635523699210812;0.008934471283186465;0.007834415623896659;196.60732423713338;172.40007203051482;-283336.72715968796;-679.6074304260967;30.535294521038836;29.138421093728237
18/03/2022;C;41801.15625;47000;0.0;0.04;9;0.7633;147.74080024026236;169.66312550756993;0.13033981343777037;0.12411392329987095;0.010073140004248806;0.008639775345648332;189.5875339375014;162.61004025205568;-288230.5191229926;-675.9553837388859;29.6728307106831;28.137679717776397
19/03/2022;C;42190.652344;47000;0.0;0.04;8;0.7469;149.2958703257129;173.33259940582593;0.1407924913760234;0.13346695149987253;0.011827121118782402;0.010006381505063604;193.6148331752017;163.8085774494686;-324261.9590822948;-750.0524003734374;28.66684742488184;27.061249643807702
20/03/2022;C;41247.824219;47000;0.0;0.04;7;0.7701;99.45931909148287;118.56938202433139;0.16480016152691837;0.1565975637940684;0.018203293947060963;0.015763238848945642;268.8451963847166;232.80792236441454;-533184.8170645848;-1263.448487523253;29.687702210641874;28.114601275574785
21/03/2022;C;41077.996094;47000;0.0;0.04;6;0.7623;75.8516943903962;93.20920624946393;0.19259440126379898;0.1825780554593482;0.026322762052873348;0.022806363117189643;329.8494495272113;285.78559897370417;-757105.7732138357;-1795.4444634575113;30.01551801596695;28.36899541797504
22/03/2022;C;42358.808594;47000;0.0;0.04;5;0.7467;107.55388698417612;132.58982887173624;0.19683680478693089;0.1845996885360843;0.025951793614606283;0.021630099172150762;265.45485331543165;221.2492472855475;-715611.7850513326;-1631.8380266279148;25.594082847524774;23.917765552888266
23/03/2022;C;42892.957031;47000;0.0;0.04;4;0.7029;99.3214371189357;128.0253134857321;0.2389418917244036;0.2214013644675831;0.03935157999642745;0.03183853089897393;303.12575977522033;245.25263965905492;-962560.9523221597;-2130.5878419750493;25.089522380756556;23.167272818365266
24/03/2022;C;43960.933594;47000;0.0;0.04;3;0.6774;130.3935776441888;172.2688878018098;0.2647255280835125;0.24000428824744957;0.045826702459716206;0.03435175121495217;255.14801298256245;191.25925703842682;-1040837.668175852;-2133.015172155899;20.93634477398733;18.904462047735574
25/03/2022;C;44348.730469;47000;0.0;0.04;2;0.6434;106.09690033243358;155.29642597735528;0.3625691134859573;0.31987329698866473;0.09134752311371269;0.06432586681172332;322.04381573349445;226.77952168034403;-1876224.5287273012;-3612.693998339164;19.318855533477112;16.979358739104924
26/03/2022;C;44500.828125;47000;0.0;0.04;1;0.6462;50.96338743490624;97.30854134694528;0.6074819606499242;0.5141327841320804;0.28768040480800605;0.1887319087768926;509.31254133406424;334.13303959350145;-5982099.918407824;-10739.49519045703;16.369368784929428;13.81185709950905
27/03/2022;C;46820.492188;47000;0.0;0.04;0;0.6834;0.0;820.4921879999965;;0.5706390977606748;;;;0.0;;;;0.0
