;Type;Spot;Strike;Rate;Dividend;Maturity;Volatility;Price_digital;Price_spread;Delta_digital;Delta_spread;Gamma_digital;Gamma_spread;Vega_digital;Vega_spread;Theta_digital;Theta_spread;Rho_digital;Rho_spread
12/03/2022;C;38904.011719;55000;0.0;0.04;29;0.8073;49.54434389185778;53.845639023535114;0.09081453086605276;0.08925353267667374;0.005673951584082011;0.005415350266126228;363.93658164672024;347.34946801497966;-181262.57542508203;-473.693317712806;64.20880534563098;62.968560208864005
13/03/2022;C;37849.664063;55000;0.0;0.04;28;0.8063;36.022981586353005;39.426833057536896;0.09834682484064508;0.09670198126208072;0.006938272610939729;0.006640599775586224;429.15402129758814;410.74201855765693;-221601.5089543555;-580.7976825354132;67.77290672707016;66.511108913377
14/03/2022;C;39666.753906;55000;0.0;0.04;27;0.8232;56.49731947907691;61.343680715233404;0.08982648918446146;0.08822400844164677;0.005460294734136427;0.00519850479314795;332.50053391454753;316.55903269705055;-181417.62640342946;-472.9082742469705;59.04973172549201;57.864335011629244
15/03/2022;C;39338.785156;55000;0.0;0.04;26;0.8205;49.18246290065533;53.6340981137223;0.09450744405435964;0.09281973869600683;0.006187988822798501;0.005896456295885202;361.6667549500288;344.62767715101097;-204513.67135190638;-533.6106836538498;60.19708343598221;58.99488235879932
16/03/2022;C;41143.929688;55000;0.0;0.04;25;0.8447;75.51515015709023;81.63956832421718;0.08523789639555708;0.0836205857534863;0.004684071031830675;0.004435667161906482;271.0023836018747;256.6306884700274;-163698.95494698535;-424.3879852926631;51.53280575038156;50.425058735264656
17/03/2022;C;40951.378906;55000;0.0;0.04;24;0.8032;60.833644393547104;66.43151431129172;0.09610769199239028;0.09421772068976116;0.006261526885366611;0.005930693898763623;330.6909629146166;313.2186305416074;-198130.70943645513;-513.7939454416581;56.618756378558;55.3760355220347
18/03/2022;C;41801.15625;55000;0.0;0.04;23;0.7633;61.64623368482437;67.74556898213132;0.10300740900412161;0.10082130766098045;0.0072548114979375695;0.006843664273668617;348.94450733326624;329.16900170438055;-207222.11666881552;-535.1569569647768;58.607408413556094;57.22986510143972
19/03/2022;C;42190.652344;55000;0.0;0.04;22;0.7469;60.48260999153994;66.77756237265885;0.10808392007580563;0.1056916399581058;0.008059688927846174;0.007586583281761619;362.83615486187045;341.53758676507005;-220485.38929744693;-568.1774080588467;59.11907511418422;57.67715285146104
20/03/2022;C;41247.824219;55000;0.0;0.04;21;0.7701;48.20509941827573;53.44474545341882;0.11249250976400335;0.11010738244680028;0.008999677947688847;0.008505805301978343;398.7498403775856;376.8677641756818;-262365.0543887118;-678.9474022822018;58.968293288878634;57.59602825706316
21/03/2022;C;41077.996094;55000;0.0;0.04;20;0.7623;41.18317764962346;45.98293361843935;0.1200706411475866;0.11749292044517119;0.010488139938447624;0.009915699350502322;438.08816849745875;414.1774035555027;-299930.7567507182;-776.442650338757;60.31268008086937;58.90023038091568
22/03/2022;C;42358.808594;55000;0.0;0.04;19;0.7467;51.51455965601124;57.52526367136352;0.1203434709061708;0.1175421081561168;0.010313181039665817;0.009692181194728654;400.8662831891804;376.7284445588324;-282697.5811241132;-727.3900666368869;57.43906704704782;55.980823423732005
23/03/2022;C;42892.957031;55000;0.0;0.04;18;0.7029;46.14032880783524;52.19253622064207;0.1342833278135342;0.13091824253500206;0.013139840910837221;0.012303422640181944;455.47368540299914;426.48044911810956;-319227.6822109736;-818.35587224174;61.29040823681139;59.630914126850406
24/03/2022;C;43960.933594;55000;0.0;0.04;17;0.6774;52.800040662457576;60.00820529348948;0.13953196405669832;0.1357135939788493;0.014050354875256459;0.013066111683431686;443.29062102048874;412.23761349058276;-316783.5724316639;-806.4500990737113;60.32995586202387;58.55153692165587
25/03/2022;C;44348.730469;55000;0.0;0.04;16;0.6434;46.648166641426336;53.795291122363324;0.15526490268341386;0.1507249554129093;0.01779097978055486;0.016483232011081306;501.77386918614775;464.89036606815193;-362030.2701849888;-918.2023889428558;63.67776555985264;61.687651687850654
26/03/2022;C;44500.828125;55000;0.0;0.04;15;0.6462;45.03253407144801;52.19794921382663;0.16077106959855297;0.15595646489553236;0.01919526376528814;0.01775759284455899;509.7525799368162;471.57355463646695;-394341.73308818217;-998.6783172463436;61.96071353365191;59.98210886117772
27/03/2022;C;46820.492188;55000;0.0;0.04;14;0.6834;100.02908243129366;112.737308558535;0.1311131837811043;0.1267304397339174;0.011241469433619611;0.010200657676544688;294.66817247424393;267.3857873592026;-257263.77125642684;-638.7240436364688;46.45437186124549;44.77331934999577
28/03/2022;C;47128.003906;55000;0.0;0.04;13;0.6536;92.5049967687288;105.61647418398024;0.14524417284876356;0.140039172052269;0.01415517498668611;0.01277990103682737;329.51696116951933;297.50209076634223;-296539.7881800695;-732.5277280530878;48.169157452984294;46.315321552862926
